Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 7.5680 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 35.7142 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 61.5416 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 8.3749 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 34.8379 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.4843 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 7.8711 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 34.1604 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 61.9675 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 8.0625 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 35.2112 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.5853 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 8.5700 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 36.1877 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.8254 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 8.0571 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 36.1116 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.7062 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 8.1157 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 35.1522 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.4096 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 7.7633 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 34.7975 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.4062 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 7.6030 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 35.0581 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.6575 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 10.0189 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 35.8507 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 62.1552 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 64.7190 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 285.8008 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 502.3087 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 67.1905 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 281.8195 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 511.0631 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 66.7724 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 285.0699 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 507.6324 ms;
