Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3720 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.9877 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.3842 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3491 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.8735 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.4912 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3659 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.8494 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.3613 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.4096 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.8586 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.3592 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3481 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.8534 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.3981 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3514 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.8504 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.4270 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3920 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.9193 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.4116 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3779 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.9025 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.4154 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.3837 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.9056 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.4415 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 1.4130 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 1.8956 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 2.4154 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.4469 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.7843 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 10.0733 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.4889 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.7282 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 10.0594 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.4758 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 8.6101 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 10.1140 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.6528 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 10.7519 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 10.2100 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.9461 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.9545 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 10.0996 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.4244 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.8098 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 9.8862 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.3873 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.6889 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 9.9492 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.5705 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.5612 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 9.9424 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.3331 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.5283 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 9.8966 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.10; Czas: 5.3368 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.50; Czas: 7.5495 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 300; Nasycenie: 0.90; Czas: 9.8429 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 13.2104 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 18.9721 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 25.1834 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 13.0565 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 18.9884 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 27.3842 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 13.1489 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 18.9763 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 25.3140 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 13.0707 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.50; Czas: 19.0171 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.90; Czas: 26.2157 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 450; Nasycenie: 0.10; Czas: 13.0688 ms;
