Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.9053 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7942 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2726 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.9061 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7787 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2499 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.9022 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7489 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2484 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.9190 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7608 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2476 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.8393 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.8422 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2275 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.8596 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7520 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.1560 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.8732 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7200 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.1963 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.8985 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7374 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2485 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.8755 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.7447 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.2519 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 2.8558 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 3.6899 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 4.1993 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 11.7940 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 15.9006 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 18.1809 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 11.7687 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 15.1548 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 17.3822 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 11.5264 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 15.2080 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 17.3746 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 11.5479 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 15.1934 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 17.2609 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 12.5638 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 16.3611 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 17.2378 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 12.3095 ms;
