Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 0.1413 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 0.4247 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 0.6620 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 0.1376 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 0.3852 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 0.6686 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 0.1296 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 0.4062 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 0.6780 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 0.1330 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 0.4088 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 0.6534 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 0.1317 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 0.4066 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 0.6523 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.10; Czas: 0.1376 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.50; Czas: 0.4185 ms;
Operacja: sortowanie; Typ: Lista Nastepnikow; n: 150; Nasycenie: 0.90; Czas: 0.6729 ms;
