Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8906 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3252 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5223 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8753 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.7244 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5393 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.9159 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3397 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5844 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8724 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3409 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5621 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8722 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3055 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5706 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8858 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3190 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5350 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8840 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.4719 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5600 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8705 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.2752 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5353 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.8739 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3081 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.6161 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.10; Czas: 0.9399 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.50; Czas: 1.3011 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 150; Nasycenie: 0.90; Czas: 1.5255 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.4061 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.2357 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.1646 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.4180 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.1979 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.2024 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3626 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.5178 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.1150 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3461 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.1758 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.2075 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3447 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.2120 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.1104 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3439 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.1638 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.1183 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3384 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.2013 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.1115 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3864 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.1341 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.1228 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3501 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.1686 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.0939 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.10; Czas: 3.3941 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.50; Czas: 5.3196 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 300; Nasycenie: 0.90; Czas: 6.2811 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 8.5326 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.2612 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.6001 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.8585 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.0488 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 16.3193 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 8.0740 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.1112 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.4091 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.8546 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.1030 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.6027 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.8972 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.1242 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 15.0745 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 8.0729 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.6557 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.4372 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.8811 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.0931 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.4961 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.8034 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.1098 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.3385 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.9844 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.0531 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.6329 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.10; Czas: 7.8776 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.50; Czas: 12.1862 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 450; Nasycenie: 0.90; Czas: 14.4778 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.6814 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.3988 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.4235 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.7379 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 21.9287 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.0202 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 13.9851 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.2773 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.3863 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.8612 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.9558 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 28.2936 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.8110 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 25.7808 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.6556 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.1565 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.6456 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.3617 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.8781 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.4201 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.2903 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.1888 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.0082 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.7654 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.1688 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 22.5045 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.9638 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.10; Czas: 14.1952 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.50; Czas: 21.4590 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 600; Nasycenie: 0.90; Czas: 26.1215 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 750; Nasycenie: 0.10; Czas: 22.6139 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 750; Nasycenie: 0.50; Czas: 34.2019 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 750; Nasycenie: 0.90; Czas: 41.3146 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 750; Nasycenie: 0.10; Czas: 24.0588 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 750; Nasycenie: 0.50; Czas: 34.9132 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 750; Nasycenie: 0.90; Czas: 41.7494 ms;
