Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1365.6286 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1426.6387 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1380.8883 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1433.3607 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1409.4507 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1453.9033 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1711.1344 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1466.5648 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1378.7529 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.10; Czas: 1399.8001 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2582.5114 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2607.9513 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2575.0596 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2755.7089 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2554.5705 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2552.8861 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2573.1132 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 1000; Nasycenie: 0.20; Czas: 2553.5796 ms;
