Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Macierz Sasiedztwa;150;0.10;3.5725;0.6050
sortowanie;Macierz Sasiedztwa;150;0.50;3.6278;0.5668
sortowanie;Macierz Sasiedztwa;150;0.90;3.6698;0.5898
sortowanie;Macierz Sasiedztwa;300;0.10;14.5838;2.6932
sortowanie;Macierz Sasiedztwa;300;0.50;15.2259;2.3215
sortowanie;Macierz Sasiedztwa;300;0.90;14.9231;2.5333
sortowanie;Macierz Sasiedztwa;450;0.10;35.2729;7.0397
sortowanie;Macierz Sasiedztwa;450;0.50;36.2635;6.1842
sortowanie;Macierz Sasiedztwa;450;0.90;36.6962;6.6159
sortowanie;Macierz Sasiedztwa;600;0.10;64.1281;13.7903
sortowanie;Macierz Sasiedztwa;600;0.50;64.8958;12.1437
sortowanie;Macierz Sasiedztwa;600;0.90;66.9703;13.3397
sortowanie;Macierz Sasiedztwa;750;0.10;104.9756;23.0389
sortowanie;Macierz Sasiedztwa;750;0.50;105.2297;19.3624
sortowanie;Macierz Sasiedztwa;750;0.90;137.5778;105.1582
sortowanie;Macierz Sasiedztwa;900;0.10;151.2451;29.1326
sortowanie;Macierz Sasiedztwa;900;0.50;155.3478;29.1725
sortowanie;Macierz Sasiedztwa;900;0.90;157.2349;30.3601
sortowanie;Macierz Sasiedztwa;1050;0.10;204.4559;41.6428
sortowanie;Macierz Sasiedztwa;1050;0.50;224.1135;40.7249
sortowanie;Macierz Sasiedztwa;1050;0.90;215.0609;42.5064
sortowanie;Macierz Sasiedztwa;1200;0.10;268.7598;57.8596
sortowanie;Macierz Sasiedztwa;1200;0.50;288.7171;67.5099
sortowanie;Macierz Sasiedztwa;1200;0.90;283.5260;57.8509
sortowanie;Macierz Sasiedztwa;1350;0.10;347.6909;75.0035
sortowanie;Macierz Sasiedztwa;1350;0.50;357.6506;68.1755
sortowanie;Macierz Sasiedztwa;1350;0.90;356.8169;71.2957
sortowanie;Macierz Sasiedztwa;1500;0.10;432.4087;86.6526
sortowanie;Macierz Sasiedztwa;1500;0.50;452.8997;88.7361
sortowanie;Macierz Sasiedztwa;1500;0.90;461.4012;74.7368
