Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Lista Nastepnikow;150;0.10;0.3766;0.2342
sortowanie;Lista Nastepnikow;150;0.50;0.4003;0.2145
sortowanie;Lista Nastepnikow;150;0.90;0.4367;0.2399
sortowanie;Lista Nastepnikow;300;0.10;1.3770;0.9296
sortowanie;Lista Nastepnikow;300;0.50;1.5267;0.8855
sortowanie;Lista Nastepnikow;300;0.90;1.6285;0.9940
sortowanie;Lista Nastepnikow;450;0.10;2.9676;2.0873
sortowanie;Lista Nastepnikow;450;0.50;3.2265;1.9651
sortowanie;Lista Nastepnikow;450;0.90;3.4423;2.0940
sortowanie;Lista Nastepnikow;600;0.10;5.1797;3.6929
sortowanie;Lista Nastepnikow;600;0.50;5.6883;3.5202
sortowanie;Lista Nastepnikow;600;0.90;7.1242;3.9461
sortowanie;Lista Nastepnikow;750;0.10;8.0252;5.7100
sortowanie;Lista Nastepnikow;750;0.50;8.7788;5.4261
sortowanie;Lista Nastepnikow;750;0.90;9.4992;5.7895
sortowanie;Lista Nastepnikow;900;0.10;11.5545;8.1355
sortowanie;Lista Nastepnikow;900;0.50;12.4696;7.7326
sortowanie;Lista Nastepnikow;900;0.90;13.4355;8.2871
sortowanie;Lista Nastepnikow;1050;0.10;15.5410;11.3145
sortowanie;Lista Nastepnikow;1050;0.50;16.8462;10.6290
sortowanie;Lista Nastepnikow;1050;0.90;18.1614;11.3046
sortowanie;Lista Nastepnikow;1200;0.10;19.9621;14.5708
sortowanie;Lista Nastepnikow;1200;0.50;21.9871;13.7276
sortowanie;Lista Nastepnikow;1200;0.90;23.4594;14.6627
sortowanie;Lista Nastepnikow;1350;0.10;25.5210;18.8400
sortowanie;Lista Nastepnikow;1350;0.50;27.9355;17.6144
sortowanie;Lista Nastepnikow;1350;0.90;29.9325;18.1175
sortowanie;Lista Nastepnikow;1500;0.10;30.5499;22.3297
sortowanie;Lista Nastepnikow;1500;0.50;33.1331;21.0104
sortowanie;Lista Nastepnikow;1500;0.90;37.4943;22.2948
