Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Macierz Sasiedztwa;150;0.10;1.2590;0.3385
sortowanie;Macierz Sasiedztwa;150;0.50;1.2747;0.2887
sortowanie;Macierz Sasiedztwa;150;0.90;1.2806;0.2918
sortowanie;Macierz Sasiedztwa;300;0.10;4.7966;1.2673
sortowanie;Macierz Sasiedztwa;300;0.50;4.9216;1.1675
sortowanie;Macierz Sasiedztwa;300;0.90;5.0362;1.2190
sortowanie;Macierz Sasiedztwa;450;0.10;11.4069;3.1545
sortowanie;Macierz Sasiedztwa;450;0.50;11.6942;2.8071
sortowanie;Macierz Sasiedztwa;450;0.90;11.7960;2.8893
sortowanie;Macierz Sasiedztwa;600;0.10;20.3700;5.2720
sortowanie;Macierz Sasiedztwa;600;0.50;21.8959;5.3741
sortowanie;Macierz Sasiedztwa;600;0.90;21.4665;5.4130
sortowanie;Macierz Sasiedztwa;750;0.10;32.1132;8.4439
sortowanie;Macierz Sasiedztwa;750;0.50;33.0763;7.9195
sortowanie;Macierz Sasiedztwa;750;0.90;33.5009;7.9756
sortowanie;Macierz Sasiedztwa;900;0.10;46.6671;11.8939
sortowanie;Macierz Sasiedztwa;900;0.50;47.7909;11.2810
sortowanie;Macierz Sasiedztwa;900;0.90;48.6367;12.0331
sortowanie;Macierz Sasiedztwa;1050;0.10;63.2179;16.8789
sortowanie;Macierz Sasiedztwa;1050;0.50;80.2665;45.3246
sortowanie;Macierz Sasiedztwa;1050;0.90;66.9936;16.1263
sortowanie;Macierz Sasiedztwa;1200;0.10;84.8384;22.4459
sortowanie;Macierz Sasiedztwa;1200;0.50;88.9503;23.0974
sortowanie;Macierz Sasiedztwa;1200;0.90;88.0487;22.4517
sortowanie;Macierz Sasiedztwa;1350;0.10;105.0611;28.5757
sortowanie;Macierz Sasiedztwa;1350;0.50;109.6752;27.2745
sortowanie;Macierz Sasiedztwa;1350;0.90;111.6924;29.3963
sortowanie;Macierz Sasiedztwa;1500;0.10;139.9935;52.0560
sortowanie;Macierz Sasiedztwa;1500;0.50;136.6417;36.1390
sortowanie;Macierz Sasiedztwa;1500;0.90;138.8807;36.1228
