Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0236 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0369 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0072 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0119 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0213 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0155 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0073 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0117 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0292 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.10; Czas: 0.0071 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0284 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0239 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0219 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0225 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0227 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0214 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0210 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0206 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0205 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.10; Czas: 0.0211 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0069 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0157 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0067 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0298 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0200 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0117 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0067 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0067 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0066 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.20; Czas: 0.0160 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0211 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0221 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0213 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0209 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0394 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0215 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0212 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0209 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0213 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.20; Czas: 0.0212 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0077 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0071 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0121 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0069 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0071 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0069 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0072 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0073 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0070 ms;
Operacja: DEC; Typ: nieskierowany; n: 50; Nasycenie: 0.30; Czas: 0.0115 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.30; Czas: 0.0220 ms;
Operacja: DEC; Typ: skierowany; n: 50; Nasycenie: 0.30; Czas: 0.0217 ms;
