Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0006 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0009 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.10; Czas: 0.0004 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.10; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.20; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.30; Czas: 0.0004 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: nieskierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0002 ms;
Operacja: DHC; Typ: skierowany; n: 2; Nasycenie: 0.40; Czas: 0.0003 ms;
