Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0386 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0275 ms; Backtracki: 1;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0251 ms; Backtracki: 1;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0259 ms; Backtracki: 1;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0277 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0290 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0245 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0255 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0237 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.50; Czas: 0.0262 ms; Backtracki: 2;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0747 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0702 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0835 ms; Backtracki: 12;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0686 ms; Backtracki: 4;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0665 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0644 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0671 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0683 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0689 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.50; Czas: 0.0744 ms; Backtracki: 10;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0313 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0284 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0290 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0355 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0261 ms; Backtracki: 1;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0312 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0359 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0292 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0272 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.60; Czas: 0.0266 ms; Backtracki: 1;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0769 ms; Backtracki: 4;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0747 ms; Backtracki: 4;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0826 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.1194 ms; Backtracki: 17;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0780 ms; Backtracki: 4;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0863 ms; Backtracki: 2;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0779 ms; Backtracki: 4;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0801 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0832 ms; Backtracki: 9;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.60; Czas: 0.0811 ms; Backtracki: 6;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0340 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0342 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0347 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0311 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0306 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0350 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0326 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0324 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0315 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.70; Czas: 0.0352 ms; Backtracki: 3;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0915 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0895 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0898 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.1068 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0931 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0909 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0941 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0915 ms; Backtracki: 5;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.1157 ms; Backtracki: 18;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.70; Czas: 0.0877 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0390 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0360 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0374 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0377 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0365 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0353 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0359 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0384 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0370 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.80; Czas: 0.0394 ms; Backtracki: 3;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1148 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1208 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1099 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1168 ms; Backtracki: 10;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1211 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1125 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1158 ms; Backtracki: 9;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1215 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1063 ms; Backtracki: 6;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.80; Czas: 0.1169 ms; Backtracki: 8;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0380 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0379 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0393 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0449 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0405 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0333 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0394 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0409 ms; Backtracki: 2;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0574 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 10; Nasycenie: 0.90; Czas: 0.0389 ms; Backtracki: 3;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1361 ms; Backtracki: 18;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1129 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1211 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1321 ms; Backtracki: 8;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1269 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1225 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1224 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1184 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1184 ms; Backtracki: 7;
Operacja: SEC; Typ: skierowany; n: 10; Nasycenie: 0.90; Czas: 0.1275 ms; Backtracki: 7;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2200 ms; Backtracki: 3;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2648 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2369 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2148 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2156 ms; Backtracki: 5;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.2740 ms; Backtracki: 4;
Operacja: SEC; Typ: nieskierowany; n: 20; Nasycenie: 0.50; Czas: 0.1943 ms; Backtracki: 3;
