Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0022 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.50; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0028 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0027 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.50; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0022 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0026 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0036 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.60; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0035 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0050 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0030 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.60; Czas: 0.0029 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0024 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0022 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0021 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0021 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0023 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0022 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0022 ms; Backtracki: 0;
Operacja: SHC; Typ: nieskierowany; n: 2; Nasycenie: 0.70; Czas: 0.0022 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0034 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0032 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0031 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0040 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0048 ms; Backtracki: 0;
Operacja: SHC; Typ: skierowany; n: 2; Nasycenie: 0.70; Czas: 0.0047 ms; Backtracki: 0;
