Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
DEC;nieskierowany;50;0.10;0.0172;0.0103;0.00
DEC;skierowany;50;0.10;0.0224;0.0024;0.00
DEC;nieskierowany;50;0.20;0.0127;0.0078;0.00
DEC;skierowany;50;0.20;0.0231;0.0057;0.00
DEC;nieskierowany;50;0.30;0.0081;0.0020;0.00
DEC;skierowany;50;0.30;0.0253;0.0074;0.00
DEC;nieskierowany;50;0.40;0.0119;0.0051;0.00
DEC;skierowany;50;0.40;0.0257;0.0077;0.00
DEC;nieskierowany;50;0.50;0.0132;0.0085;0.00
DEC;skierowany;50;0.50;0.0224;0.0006;0.00
DEC;nieskierowany;50;0.60;0.0135;0.0083;0.00
DEC;skierowany;50;0.60;0.0225;0.0005;0.00
DEC;nieskierowany;50;0.70;0.0168;0.0103;0.00
DEC;skierowany;50;0.70;0.0228;0.0004;0.00
DEC;nieskierowany;50;0.80;0.0161;0.0085;0.00
DEC;skierowany;50;0.80;0.0246;0.0027;0.00
DEC;nieskierowany;50;0.90;0.0155;0.0069;0.00
DEC;skierowany;50;0.90;0.0288;0.0079;0.00
DEC;nieskierowany;100;0.10;0.0168;0.0106;0.00
DEC;skierowany;100;0.10;0.0443;0.0101;0.00
DEC;nieskierowany;100;0.20;0.0169;0.0071;0.00
DEC;skierowany;100;0.20;0.0416;0.0012;0.00
DEC;nieskierowany;100;0.30;0.0219;0.0103;0.00
DEC;skierowany;100;0.30;0.0415;0.0016;0.00
DEC;nieskierowany;100;0.40;0.0226;0.0126;0.00
DEC;skierowany;100;0.40;0.0449;0.0026;0.00
DEC;nieskierowany;100;0.50;0.0338;0.0268;0.00
DEC;skierowany;100;0.50;0.0435;0.0009;0.00
DEC;nieskierowany;100;0.60;0.0209;0.0105;0.00
DEC;skierowany;100;0.60;0.0474;0.0029;0.00
DEC;nieskierowany;100;0.70;0.0186;0.0071;0.00
DEC;skierowany;100;0.70;0.0572;0.0153;0.00
DEC;nieskierowany;100;0.80;0.0311;0.0252;0.00
DEC;skierowany;100;0.80;0.0534;0.0132;0.00
DEC;nieskierowany;100;0.90;0.0179;0.0060;0.00
DEC;skierowany;100;0.90;0.0641;0.0191;0.00
DEC;nieskierowany;150;0.10;0.0293;0.0254;0.00
DEC;skierowany;150;0.10;0.0650;0.0150;0.00
DEC;nieskierowany;150;0.20;0.0261;0.0156;0.00
DEC;skierowany;150;0.20;0.0726;0.0146;0.00
DEC;nieskierowany;150;0.30;0.0405;0.0223;0.00
DEC;skierowany;150;0.30;0.0664;0.0164;0.00
DEC;nieskierowany;150;0.40;0.0377;0.0414;0.00
DEC;skierowany;150;0.40;0.0682;0.0044;0.00
DEC;nieskierowany;150;0.50;0.0458;0.0358;0.00
DEC;skierowany;150;0.50;0.0785;0.0036;0.00
DEC;nieskierowany;150;0.60;0.0394;0.0225;0.00
DEC;skierowany;150;0.60;0.0742;0.0030;0.00
DEC;nieskierowany;150;0.70;0.0426;0.0307;0.00
DEC;skierowany;150;0.70;0.0842;0.0198;0.00
DEC;nieskierowany;150;0.80;0.0299;0.0161;0.00
DEC;skierowany;150;0.80;0.0992;0.0200;0.00
DEC;nieskierowany;150;0.90;0.0332;0.0139;0.00
DEC;skierowany;150;0.90;0.0894;0.0222;0.00
DEC;nieskierowany;200;0.10;0.0326;0.0190;0.00
DEC;skierowany;200;0.10;0.1046;0.0332;0.00
DEC;nieskierowany;200;0.20;0.0529;0.0368;0.00
DEC;skierowany;200;0.20;0.0808;0.0031;0.00
DEC;nieskierowany;200;0.30;0.0365;0.0155;0.00
DEC;skierowany;200;0.30;0.1013;0.0097;0.00
DEC;nieskierowany;200;0.40;0.0315;0.0117;0.00
DEC;skierowany;200;0.40;0.0935;0.0157;0.00
DEC;nieskierowany;200;0.50;0.0441;0.0292;0.00
DEC;skierowany;200;0.50;0.1011;0.0168;0.00
DEC;nieskierowany;200;0.60;0.0307;0.0141;0.00
DEC;skierowany;200;0.60;0.1065;0.0264;0.00
DEC;nieskierowany;200;0.70;0.0583;0.0379;0.00
DEC;skierowany;200;0.70;0.1114;0.0248;0.00
DEC;nieskierowany;200;0.80;0.0376;0.0160;0.00
DEC;skierowany;200;0.80;0.1067;0.0041;0.00
DEC;nieskierowany;200;0.90;0.0478;0.0291;0.00
DEC;skierowany;200;0.90;0.1216;0.0282;0.00
DEC;nieskierowany;250;0.10;0.0382;0.0201;0.00
DEC;skierowany;250;0.10;0.0991;0.0086;0.00
DEC;nieskierowany;250;0.20;0.0354;0.0177;0.00
DEC;skierowany;250;0.20;0.1149;0.0263;0.00
DEC;nieskierowany;250;0.30;0.0486;0.0183;0.00
DEC;skierowany;250;0.30;0.1169;0.0220;0.00
DEC;nieskierowany;250;0.40;0.0402;0.0186;0.00
DEC;skierowany;250;0.40;0.1111;0.0027;0.00
DEC;nieskierowany;250;0.50;0.0708;0.0536;0.00
DEC;skierowany;250;0.50;0.1209;0.0072;0.00
DEC;nieskierowany;250;0.60;0.0428;0.0252;0.00
DEC;skierowany;250;0.60;0.1350;0.0319;0.00
DEC;nieskierowany;250;0.70;0.0695;0.0406;0.00
DEC;skierowany;250;0.70;0.1336;0.0193;0.00
DEC;nieskierowany;250;0.80;0.0585;0.0299;0.00
DEC;skierowany;250;0.80;0.1552;0.0361;0.00
DEC;nieskierowany;250;0.90;0.0404;0.0129;0.00
DEC;skierowany;250;0.90;0.1389;0.0029;0.00
DEC;nieskierowany;300;0.10;0.0437;0.0196;0.00
DEC;skierowany;300;0.10;0.1298;0.0135;0.00
DEC;nieskierowany;300;0.20;0.0596;0.0408;0.00
DEC;skierowany;300;0.20;0.1452;0.0327;0.00
DEC;nieskierowany;300;0.30;0.0459;0.0224;0.00
DEC;skierowany;300;0.30;0.1411;0.0058;0.00
DEC;nieskierowany;300;0.40;0.0667;0.0292;0.00
DEC;skierowany;300;0.40;0.1467;0.0080;0.00
DEC;nieskierowany;300;0.50;0.0555;0.0453;0.00
DEC;skierowany;300;0.50;0.1770;0.0489;0.00
DEC;nieskierowany;300;0.60;0.0769;0.0501;0.00
DEC;skierowany;300;0.60;0.1716;0.0415;0.00
DEC;nieskierowany;300;0.70;0.0533;0.0208;0.00
DEC;skierowany;300;0.70;0.1834;0.0427;0.00
DEC;nieskierowany;300;0.80;0.0662;0.0270;0.00
DEC;skierowany;300;0.80;0.1813;0.0100;0.00
DEC;nieskierowany;300;0.90;0.0547;0.0237;0.00
DEC;skierowany;300;0.90;0.2342;0.0808;0.00
DEC;nieskierowany;350;0.10;0.0562;0.0370;0.00
DEC;skierowany;350;0.10;0.1952;0.0533;0.00
DEC;nieskierowany;350;0.20;0.0543;0.0275;0.00
DEC;skierowany;350;0.20;0.1678;0.0176;0.00
DEC;nieskierowany;350;0.30;0.0504;0.0297;0.00
DEC;skierowany;350;0.30;0.1703;0.0089;0.00
DEC;nieskierowany;350;0.40;0.0514;0.0236;0.00
DEC;skierowany;350;0.40;0.1736;0.0053;0.00
DEC;nieskierowany;350;0.50;0.0565;0.0238;0.00
DEC;skierowany;350;0.50;0.2082;0.0315;0.00
DEC;nieskierowany;350;0.60;0.0666;0.0282;0.00
DEC;skierowany;350;0.60;0.1937;0.0053;0.00
