Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
DHC;nieskierowany;2;0.10;0.0004;0.0002;0.00
DHC;skierowany;2;0.10;0.0002;0.0000;0.00
DHC;nieskierowany;2;0.20;0.0002;0.0000;0.00
DHC;skierowany;2;0.20;0.0002;0.0000;0.00
DHC;nieskierowany;2;0.30;0.0003;0.0001;0.00
DHC;skierowany;2;0.30;0.0003;0.0001;0.00
DHC;nieskierowany;2;0.40;0.0003;0.0001;0.00
DHC;skierowany;2;0.40;0.0002;0.0000;0.00
DHC;nieskierowany;2;0.50;0.0002;0.0000;0.00
DHC;skierowany;2;0.50;0.0002;0.0001;0.00
DHC;nieskierowany;2;0.60;0.0002;0.0000;0.00
DHC;skierowany;2;0.60;0.0003;0.0001;0.00
DHC;nieskierowany;2;0.70;0.0003;0.0001;0.00
DHC;skierowany;2;0.70;0.0002;0.0001;0.00
DHC;nieskierowany;2;0.80;0.0002;0.0001;0.00
DHC;skierowany;2;0.80;0.0002;0.0000;0.00
DHC;nieskierowany;2;0.90;0.0002;0.0000;0.00
DHC;skierowany;2;0.90;0.0002;0.0000;0.00
DHC;nieskierowany;4;0.10;0.0046;0.0027;0.00
DHC;skierowany;4;0.10;0.0054;0.0016;0.00
DHC;nieskierowany;4;0.20;0.0042;0.0008;0.00
DHC;skierowany;4;0.20;0.0051;0.0007;0.00
DHC;nieskierowany;4;0.30;0.0037;0.0005;0.00
DHC;skierowany;4;0.30;0.0051;0.0004;0.00
DHC;nieskierowany;4;0.40;0.0037;0.0002;0.00
DHC;skierowany;4;0.40;0.0050;0.0004;0.00
DHC;nieskierowany;4;0.50;0.0038;0.0004;0.00
DHC;skierowany;4;0.50;0.0051;0.0003;0.00
DHC;nieskierowany;4;0.60;0.0044;0.0024;0.00
DHC;skierowany;4;0.60;0.0057;0.0012;0.00
DHC;nieskierowany;4;0.70;0.0049;0.0016;0.00
DHC;skierowany;4;0.70;0.0063;0.0016;0.00
DHC;nieskierowany;4;0.80;0.0053;0.0015;0.00
DHC;skierowany;4;0.80;0.0081;0.0034;0.00
DHC;nieskierowany;4;0.90;0.0046;0.0002;0.00
DHC;skierowany;4;0.90;0.0089;0.0022;0.00
DHC;nieskierowany;6;0.10;0.0036;0.0001;0.00
DHC;skierowany;6;0.10;0.0059;0.0006;0.00
DHC;nieskierowany;6;0.20;0.0042;0.0003;0.00
DHC;skierowany;6;0.20;0.0059;0.0002;0.00
DHC;nieskierowany;6;0.30;0.0047;0.0008;0.00
DHC;skierowany;6;0.30;0.0067;0.0007;0.00
DHC;nieskierowany;6;0.40;0.0046;0.0007;0.00
DHC;skierowany;6;0.40;0.0066;0.0012;0.00
DHC;nieskierowany;6;0.50;0.0051;0.0020;0.00
DHC;skierowany;6;0.50;0.0065;0.0012;0.00
DHC;nieskierowany;6;0.60;0.0056;0.0014;0.00
DHC;skierowany;6;0.60;0.0085;0.0035;0.00
DHC;nieskierowany;6;0.70;0.0100;0.0046;0.00
DHC;skierowany;6;0.70;0.0141;0.0098;0.00
DHC;nieskierowany;6;0.80;0.0101;0.0003;0.00
DHC;skierowany;6;0.80;0.0209;0.0085;0.00
DHC;nieskierowany;6;0.90;0.0083;0.0005;0.00
DHC;skierowany;6;0.90;0.0189;0.0005;0.00
DHC;nieskierowany;8;0.10;0.0044;0.0002;0.00
DHC;skierowany;8;0.10;0.0068;0.0004;0.00
DHC;nieskierowany;8;0.20;0.0049;0.0010;0.00
DHC;skierowany;8;0.20;0.0069;0.0003;0.00
DHC;nieskierowany;8;0.30;0.0058;0.0010;0.00
DHC;skierowany;8;0.30;0.0072;0.0004;0.00
DHC;nieskierowany;8;0.40;0.0051;0.0008;0.00
DHC;skierowany;8;0.40;0.0081;0.0025;0.00
DHC;nieskierowany;8;0.50;0.0057;0.0014;0.00
DHC;skierowany;8;0.50;0.0143;0.0039;0.00
DHC;nieskierowany;8;0.60;0.0109;0.0036;0.00
DHC;skierowany;8;0.60;0.0209;0.0152;0.00
DHC;nieskierowany;8;0.70;0.0133;0.0072;0.00
DHC;skierowany;8;0.70;0.0270;0.0269;0.00
DHC;nieskierowany;8;0.80;0.0192;0.0096;0.00
DHC;skierowany;8;0.80;0.0484;0.0205;0.00
DHC;nieskierowany;8;0.90;0.0130;0.0003;0.00
DHC;skierowany;8;0.90;0.0382;0.0004;0.00
DHC;nieskierowany;10;0.10;0.0054;0.0017;0.00
DHC;skierowany;10;0.10;0.0075;0.0003;0.00
DHC;nieskierowany;10;0.20;0.0051;0.0005;0.00
DHC;skierowany;10;0.20;0.0074;0.0003;0.00
DHC;nieskierowany;10;0.30;0.0057;0.0012;0.00
DHC;skierowany;10;0.30;0.0078;0.0003;0.00
DHC;nieskierowany;10;0.40;0.0058;0.0008;0.00
DHC;skierowany;10;0.40;0.0082;0.0007;0.00
DHC;nieskierowany;10;0.50;0.0068;0.0021;0.00
DHC;skierowany;10;0.50;0.0125;0.0057;0.00
DHC;nieskierowany;10;0.60;0.0188;0.0156;0.00
DHC;skierowany;10;0.60;0.0143;0.0055;0.00
DHC;nieskierowany;10;0.70;0.0307;0.0188;0.00
DHC;skierowany;10;0.70;0.0544;0.0453;0.00
DHC;nieskierowany;10;0.80;0.0345;0.0063;0.00
DHC;skierowany;10;0.80;0.0906;0.0276;0.00
DHC;nieskierowany;10;0.90;0.0244;0.0055;0.00
DHC;skierowany;10;0.90;0.0633;0.0026;0.00
DHC;nieskierowany;12;0.10;0.0048;0.0002;0.00
DHC;skierowany;12;0.10;0.0103;0.0070;0.00
DHC;nieskierowany;12;0.20;0.0051;0.0002;0.00
DHC;skierowany;12;0.20;0.0083;0.0002;0.00
DHC;nieskierowany;12;0.30;0.0053;0.0002;0.00
DHC;skierowany;12;0.30;0.0083;0.0002;0.00
DHC;nieskierowany;12;0.40;0.0055;0.0003;0.00
DHC;skierowany;12;0.40;0.0085;0.0004;0.00
DHC;nieskierowany;12;0.50;0.0068;0.0033;0.00
DHC;skierowany;12;0.50;0.0116;0.0057;0.00
DHC;nieskierowany;12;0.60;0.0157;0.0090;0.00
DHC;skierowany;12;0.60;0.0162;0.0074;0.00
DHC;nieskierowany;12;0.70;0.0537;0.0279;0.00
DHC;skierowany;12;0.70;0.0812;0.0786;0.00
DHC;nieskierowany;12;0.80;0.0550;0.0022;0.00
DHC;skierowany;12;0.80;0.1724;0.0037;0.00
DHC;nieskierowany;12;0.90;0.0328;0.0027;0.00
DHC;skierowany;12;0.90;0.1065;0.0037;0.00
DHC;nieskierowany;14;0.10;0.0053;0.0002;0.00
DHC;skierowany;14;0.10;0.0088;0.0003;0.00
DHC;nieskierowany;14;0.20;0.0056;0.0005;0.00
DHC;skierowany;14;0.20;0.0091;0.0004;0.00
DHC;nieskierowany;14;0.30;0.0057;0.0003;0.00
DHC;skierowany;14;0.30;0.0095;0.0003;0.00
DHC;nieskierowany;14;0.40;0.0065;0.0015;0.00
DHC;skierowany;14;0.40;0.0125;0.0073;0.00
DHC;nieskierowany;14;0.50;0.0086;0.0042;0.00
DHC;skierowany;14;0.50;0.0103;0.0021;0.00
DHC;nieskierowany;14;0.60;0.0130;0.0051;0.00
DHC;skierowany;14;0.60;0.0270;0.0165;0.00
DHC;nieskierowany;14;0.70;0.1034;0.0516;0.00
DHC;skierowany;14;0.70;0.1205;0.1121;0.00
DHC;nieskierowany;14;0.80;0.0837;0.0053;0.00
DHC;skierowany;14;0.80;0.2473;0.0772;0.00
DHC;nieskierowany;14;0.90;0.0507;0.0077;0.00
DHC;skierowany;14;0.90;0.1567;0.0035;0.00
DHC;nieskierowany;16;0.10;0.0068;0.0016;0.00
DHC;skierowany;16;0.10;0.0098;0.0002;0.00
DHC;nieskierowany;16;0.20;0.0062;0.0005;0.00
DHC;skierowany;16;0.20;0.0098;0.0004;0.00
DHC;nieskierowany;16;0.30;0.0073;0.0028;0.00
DHC;skierowany;16;0.30;0.0103;0.0005;0.00
DHC;nieskierowany;16;0.40;0.0065;0.0005;0.00
DHC;skierowany;16;0.40;0.0131;0.0072;0.00
DHC;nieskierowany;16;0.50;0.0112;0.0102;0.00
DHC;skierowany;16;0.50;0.0145;0.0111;0.00
DHC;nieskierowany;16;0.60;0.0170;0.0066;0.00
DHC;skierowany;16;0.60;0.0307;0.0549;0.00
DHC;nieskierowany;16;0.70;0.0986;0.0639;0.00
DHC;skierowany;16;0.70;0.1540;0.1451;0.00
DHC;nieskierowany;16;0.80;0.1109;0.0023;0.00
DHC;skierowany;16;0.80;0.3705;0.0034;0.00
DHC;nieskierowany;16;0.90;0.0628;0.0003;0.00
DHC;skierowany;16;0.90;0.2149;0.0028;0.00
DHC;nieskierowany;18;0.10;0.0062;0.0005;0.00
DHC;skierowany;18;0.10;0.0103;0.0003;0.00
DHC;nieskierowany;18;0.20;0.0064;0.0005;0.00
DHC;skierowany;18;0.20;0.0106;0.0002;0.00
DHC;nieskierowany;18;0.30;0.0068;0.0003;0.00
DHC;skierowany;18;0.30;0.0107;0.0003;0.00
DHC;nieskierowany;18;0.40;0.0071;0.0015;0.00
DHC;skierowany;18;0.40;0.0114;0.0023;0.00
DHC;nieskierowany;18;0.50;0.0101;0.0061;0.00
DHC;skierowany;18;0.50;0.0130;0.0034;0.00
DHC;nieskierowany;18;0.60;0.0205;0.0183;0.00
DHC;skierowany;18;0.60;0.1068;0.0968;0.00
DHC;nieskierowany;18;0.70;0.1934;0.0648;0.00
DHC;skierowany;18;0.70;0.5698;0.2241;0.00
DHC;nieskierowany;18;0.80;0.1656;0.0259;0.00
DHC;skierowany;18;0.80;0.5392;0.0368;0.00
DHC;nieskierowany;18;0.90;0.0911;0.0051;0.00
DHC;skierowany;18;0.90;0.3174;0.0577;0.00
DHC;nieskierowany;20;0.10;0.0065;0.0006;0.00
DHC;skierowany;20;0.10;0.0114;0.0003;0.00
DHC;nieskierowany;20;0.20;0.0074;0.0015;0.00
DHC;skierowany;20;0.20;0.0149;0.0038;0.00
DHC;nieskierowany;20;0.30;0.0085;0.0023;0.00
DHC;skierowany;20;0.30;0.0118;0.0003;0.00
DHC;nieskierowany;20;0.40;0.0077;0.0016;0.00
DHC;skierowany;20;0.40;0.0139;0.0034;0.00
DHC;nieskierowany;20;0.50;0.0096;0.0064;0.00
DHC;skierowany;20;0.50;0.0261;0.0175;0.00
DHC;nieskierowany;20;0.60;0.0437;0.0437;0.00
DHC;skierowany;20;0.60;0.0746;0.0904;0.00
DHC;nieskierowany;20;0.70;0.2127;0.1117;0.00
DHC;skierowany;20;0.70;1.2237;0.4479;0.00
DHC;nieskierowany;20;0.80;0.2154;0.0229;0.00
DHC;skierowany;20;0.80;0.6890;0.0042;0.00
DHC;nieskierowany;20;0.90;0.1136;0.0022;0.00
DHC;skierowany;20;0.90;0.3916;0.0039;0.00
