Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
SEC;nieskierowany;3;0.50;0.0057;0.0040;0.00
SEC;skierowany;3;0.50;0.0047;0.0010;0.00
SEC;nieskierowany;3;0.60;0.0041;0.0003;0.00
SEC;skierowany;3;0.60;0.0047;0.0005;0.00
SEC;nieskierowany;3;0.70;0.0043;0.0008;0.00
SEC;skierowany;3;0.70;0.0090;0.0018;1.00
SEC;nieskierowany;3;0.80;0.0040;0.0002;0.00
SEC;skierowany;3;0.80;0.0073;0.0003;1.00
SEC;nieskierowany;3;0.90;0.0047;0.0007;0.00
SEC;skierowany;3;0.90;0.0076;0.0005;1.00
SEC;nieskierowany;4;0.50;0.0052;0.0010;0.00
SEC;skierowany;4;0.50;0.0089;0.0003;1.00
SEC;nieskierowany;4;0.60;0.0052;0.0005;0.00
SEC;skierowany;4;0.60;0.0092;0.0015;0.90
SEC;nieskierowany;4;0.70;0.0055;0.0008;0.00
SEC;skierowany;4;0.70;0.0126;0.0006;1.80
SEC;nieskierowany;4;0.80;0.0052;0.0006;0.00
SEC;skierowany;4;0.80;0.0126;0.0006;1.90
SEC;nieskierowany;4;0.90;0.0050;0.0003;0.00
SEC;skierowany;4;0.90;0.0124;0.0007;1.70
SEC;nieskierowany;5;0.50;0.0061;0.0012;0.00
SEC;skierowany;5;0.50;0.0135;0.0015;1.40
SEC;nieskierowany;5;0.60;0.0058;0.0004;0.00
SEC;skierowany;5;0.60;0.0171;0.0012;2.20
SEC;nieskierowany;5;0.70;0.0054;0.0002;0.00
SEC;skierowany;5;0.70;0.0218;0.0110;2.70
SEC;nieskierowany;5;0.80;0.0055;0.0003;0.00
SEC;skierowany;5;0.80;0.0167;0.0015;2.30
SEC;nieskierowany;5;0.90;0.0057;0.0006;0.00
SEC;skierowany;5;0.90;0.0184;0.0016;2.40
SEC;nieskierowany;6;0.50;0.0109;0.0022;1.10
SEC;skierowany;6;0.50;0.0193;0.0031;1.80
SEC;nieskierowany;6;0.60;0.0098;0.0005;0.90
SEC;skierowany;6;0.60;0.0245;0.0035;4.10
SEC;nieskierowany;6;0.70;0.0129;0.0021;1.00
SEC;skierowany;6;0.70;0.0291;0.0051;3.10
SEC;nieskierowany;6;0.80;0.0120;0.0004;1.00
SEC;skierowany;6;0.80;0.0326;0.0083;4.80
SEC;nieskierowany;6;0.90;0.0145;0.0037;1.00
SEC;skierowany;6;0.90;0.0312;0.0026;3.10
SEC;nieskierowany;7;0.50;0.0108;0.0008;0.60
SEC;skierowany;7;0.50;0.0296;0.0040;3.10
SEC;nieskierowany;7;0.60;0.0137;0.0008;1.50
SEC;skierowany;7;0.60;0.0344;0.0052;4.50
SEC;nieskierowany;7;0.70;0.0153;0.0007;1.30
SEC;skierowany;7;0.70;0.0401;0.0025;4.80
SEC;nieskierowany;7;0.80;0.0161;0.0022;1.30
SEC;skierowany;7;0.80;0.0444;0.0025;5.00
SEC;nieskierowany;7;0.90;0.0156;0.0009;1.30
SEC;skierowany;7;0.90;0.0459;0.0051;6.10
SEC;nieskierowany;8;0.50;0.0150;0.0011;0.90
SEC;skierowany;8;0.50;0.0425;0.0056;5.50
SEC;nieskierowany;8;0.60;0.0178;0.0029;1.30
SEC;skierowany;8;0.60;0.0462;0.0046;4.20
SEC;nieskierowany;8;0.70;0.0200;0.0010;1.30
SEC;skierowany;8;0.70;0.0591;0.0142;4.40
SEC;nieskierowany;8;0.80;0.0228;0.0024;1.90
SEC;skierowany;8;0.80;0.0636;0.0083;6.30
SEC;nieskierowany;8;0.90;0.0237;0.0013;2.00
SEC;skierowany;8;0.90;0.0690;0.0072;6.70
SEC;nieskierowany;9;0.50;0.0214;0.0056;1.20
SEC;skierowany;9;0.50;0.0544;0.0076;5.50
SEC;nieskierowany;9;0.60;0.0228;0.0018;1.40
SEC;skierowany;9;0.60;0.0621;0.0030;4.50
SEC;nieskierowany;9;0.70;0.0273;0.0027;2.10
SEC;skierowany;9;0.70;0.0737;0.0030;6.60
SEC;nieskierowany;9;0.80;0.0295;0.0014;2.50
SEC;skierowany;9;0.80;0.0821;0.0037;6.40
SEC;nieskierowany;9;0.90;0.0311;0.0021;2.70
SEC;skierowany;9;0.90;0.0964;0.0137;9.30
SEC;nieskierowany;10;0.50;0.0245;0.0022;1.70
SEC;skierowany;10;0.50;0.0703;0.0068;5.40
SEC;nieskierowany;10;0.60;0.0298;0.0022;2.00
SEC;skierowany;10;0.60;0.0847;0.0117;6.40
SEC;nieskierowany;10;0.70;0.0355;0.0043;2.30
SEC;skierowany;10;0.70;0.0936;0.0043;5.70
SEC;nieskierowany;10;0.80;0.0386;0.0029;2.50
SEC;skierowany;10;0.80;0.1114;0.0051;7.20
SEC;nieskierowany;10;0.90;0.0386;0.0016;2.60
SEC;skierowany;10;0.90;0.1186;0.0101;7.40
SEC;nieskierowany;11;0.50;0.0302;0.0015;1.90
SEC;skierowany;11;0.50;0.0885;0.0043;6.10
SEC;nieskierowany;11;0.60;0.0367;0.0018;2.20
SEC;skierowany;11;0.60;0.1030;0.0037;6.00
SEC;nieskierowany;11;0.70;0.0408;0.0014;2.40
SEC;skierowany;11;0.70;0.1202;0.0048;6.90
SEC;nieskierowany;11;0.80;0.0494;0.0057;3.60
SEC;skierowany;11;0.80;0.1390;0.0033;7.70
SEC;nieskierowany;11;0.90;0.0503;0.0029;3.00
SEC;skierowany;11;0.90;0.2158;0.0686;8.60
SEC;nieskierowany;12;0.50;0.0396;0.0021;2.70
SEC;skierowany;12;0.50;0.1125;0.0074;6.90
SEC;nieskierowany;12;0.60;0.0462;0.0036;3.30
SEC;skierowany;12;0.60;0.1304;0.0068;7.20
SEC;nieskierowany;12;0.70;0.0520;0.0030;3.00
SEC;skierowany;12;0.70;0.1954;0.0466;6.90
SEC;nieskierowany;12;0.80;0.0560;0.0034;3.30
SEC;skierowany;12;0.80;0.2380;0.0241;8.60
SEC;nieskierowany;12;0.90;0.0596;0.0029;3.50
SEC;skierowany;12;0.90;0.2407;0.0205;8.90
