Operacja;TypGrafu;N;Nasycenie;Srednia_ms;Odchylenie_ms;Srednia_Backtrackow
SHC;nieskierowany;3;0.50;0.0032;0.0004;0.00
SHC;skierowany;3;0.50;0.0040;0.0009;0.00
SHC;nieskierowany;3;0.60;0.0028;0.0002;0.00
SHC;skierowany;3;0.60;0.0035;0.0002;0.00
SHC;nieskierowany;3;0.70;0.0027;0.0002;0.00
SHC;skierowany;3;0.70;0.0039;0.0006;0.20
SHC;nieskierowany;3;0.80;0.0027;0.0001;0.00
SHC;skierowany;3;0.80;0.0053;0.0027;0.10
SHC;nieskierowany;3;0.90;0.0028;0.0001;0.00
SHC;skierowany;3;0.90;0.0044;0.0010;0.60
SHC;nieskierowany;4;0.50;0.0036;0.0004;0.00
SHC;skierowany;4;0.50;0.0052;0.0012;0.40
SHC;nieskierowany;4;0.60;0.0036;0.0006;0.00
SHC;skierowany;4;0.60;0.0060;0.0014;1.20
SHC;nieskierowany;4;0.70;0.0033;0.0001;0.00
SHC;skierowany;4;0.70;0.0069;0.0021;2.40
SHC;nieskierowany;4;0.80;0.0366;0.1049;0.00
SHC;skierowany;4;0.80;0.0061;0.0023;1.30
SHC;nieskierowany;4;0.90;0.0063;0.0023;0.80
SHC;skierowany;4;0.90;0.0098;0.0040;1.70
SHC;nieskierowany;5;0.50;0.0040;0.0002;0.00
SHC;skierowany;5;0.50;0.0097;0.0035;3.50
SHC;nieskierowany;5;0.60;0.0056;0.0017;1.90
SHC;skierowany;5;0.60;0.0076;0.0018;1.40
SHC;nieskierowany;5;0.70;0.0081;0.0022;1.70
SHC;skierowany;5;0.70;0.0098;0.0028;1.10
SHC;nieskierowany;5;0.80;0.0062;0.0016;1.40
SHC;skierowany;5;0.80;0.0072;0.0019;0.70
SHC;nieskierowany;5;0.90;0.0043;0.0002;0.00
SHC;skierowany;5;0.90;0.0066;0.0017;0.70
SHC;nieskierowany;6;0.50;0.0073;0.0023;1.70
SHC;skierowany;6;0.50;0.0197;0.0098;4.90
SHC;nieskierowany;6;0.60;0.0106;0.0041;5.40
SHC;skierowany;6;0.60;0.0172;0.0137;8.00
SHC;nieskierowany;6;0.70;0.0116;0.0049;7.00
SHC;skierowany;6;0.70;0.0108;0.0032;2.50
SHC;nieskierowany;6;0.80;0.0065;0.0014;1.20
SHC;skierowany;6;0.80;0.0099;0.0048;2.10
SHC;nieskierowany;6;0.90;0.0069;0.0029;0.90
SHC;skierowany;6;0.90;0.0076;0.0007;0.20
SHC;nieskierowany;7;0.50;0.0116;0.0062;6.20
SHC;skierowany;7;0.50;0.0187;0.0133;6.80
SHC;nieskierowany;7;0.60;0.0169;0.0074;7.70
SHC;skierowany;7;0.60;0.0217;0.0169;9.40
SHC;nieskierowany;7;0.70;0.0088;0.0035;3.20
SHC;skierowany;7;0.70;0.0138;0.0083;3.30
SHC;nieskierowany;7;0.80;0.0070;0.0023;1.40
SHC;skierowany;7;0.80;0.0118;0.0045;1.20
SHC;nieskierowany;7;0.90;0.0082;0.0026;0.90
SHC;skierowany;7;0.90;0.0097;0.0014;0.40
SHC;nieskierowany;8;0.50;0.0167;0.0185;8.30
SHC;skierowany;8;0.50;0.0447;0.0498;21.60
