Algorytm: AD; n: 4; b: 50; Czas: 0.0423
Algorytm: AD; n: 4; b: 50; Czas: 0.0368
Algorytm: AD; n: 4; b: 50; Czas: 0.0541
Algorytm: AD; n: 4; b: 50; Czas: 0.0315
Algorytm: AD; n: 4; b: 50; Czas: 0.0322
Algorytm: AD; n: 4; b: 50; Czas: 0.0295
Algorytm: AD; n: 4; b: 50; Czas: 0.0320
Algorytm: AD; n: 4; b: 50; Czas: 0.0547
Algorytm: AD; n: 4; b: 50; Czas: 0.0316
Algorytm: AD; n: 4; b: 50; Czas: 0.0316
Algorytm: AD; n: 6; b: 50; Czas: 0.0414
Algorytm: AD; n: 6; b: 50; Czas: 0.0445
Algorytm: AD; n: 6; b: 50; Czas: 0.0432
Algorytm: AD; n: 6; b: 50; Czas: 0.0419
Algorytm: AD; n: 6; b: 50; Czas: 0.0442
Algorytm: AD; n: 6; b: 50; Czas: 0.0446
Algorytm: AD; n: 6; b: 50; Czas: 0.0449
Algorytm: AD; n: 6; b: 50; Czas: 0.0450
Algorytm: AD; n: 6; b: 50; Czas: 0.0442
Algorytm: AD; n: 6; b: 50; Czas: 0.0456
Algorytm: AD; n: 8; b: 50; Czas: 0.0558
Algorytm: AD; n: 8; b: 50; Czas: 0.0593
Algorytm: AD; n: 8; b: 50; Czas: 0.0560
Algorytm: AD; n: 8; b: 50; Czas: 0.0584
Algorytm: AD; n: 8; b: 50; Czas: 0.0598
Algorytm: AD; n: 8; b: 50; Czas: 0.0587
Algorytm: AD; n: 8; b: 50; Czas: 0.0589
Algorytm: AD; n: 8; b: 50; Czas: 0.0595
Algorytm: AD; n: 8; b: 50; Czas: 0.0733
Algorytm: AD; n: 8; b: 50; Czas: 0.0553
Algorytm: AD; n: 10; b: 50; Czas: 0.0786
Algorytm: AD; n: 10; b: 50; Czas: 0.0704
Algorytm: AD; n: 10; b: 50; Czas: 0.0684
Algorytm: AD; n: 10; b: 50; Czas: 0.0794
Algorytm: AD; n: 10; b: 50; Czas: 0.0730
Algorytm: AD; n: 10; b: 50; Czas: 0.0727
Algorytm: AD; n: 10; b: 50; Czas: 0.0698
Algorytm: AD; n: 10; b: 50; Czas: 0.0762
Algorytm: AD; n: 10; b: 50; Czas: 0.0768
Algorytm: AD; n: 10; b: 50; Czas: 0.0703
Algorytm: AD; n: 12; b: 50; Czas: 0.0878
Algorytm: AD; n: 12; b: 50; Czas: 0.0891
Algorytm: AD; n: 12; b: 50; Czas: 0.0864
Algorytm: AD; n: 12; b: 50; Czas: 0.0914
Algorytm: AD; n: 12; b: 50; Czas: 0.0831
Algorytm: AD; n: 12; b: 50; Czas: 0.0915
Algorytm: AD; n: 12; b: 50; Czas: 0.0884
Algorytm: AD; n: 12; b: 50; Czas: 0.0892
Algorytm: AD; n: 12; b: 50; Czas: 0.0830
Algorytm: AD; n: 12; b: 50; Czas: 0.0958
Algorytm: AD; n: 14; b: 50; Czas: 0.1000
Algorytm: AD; n: 14; b: 50; Czas: 0.1052
Algorytm: AD; n: 14; b: 50; Czas: 0.1043
Algorytm: AD; n: 14; b: 50; Czas: 0.1019
Algorytm: AD; n: 14; b: 50; Czas: 0.1082
Algorytm: AD; n: 14; b: 50; Czas: 0.1039
Algorytm: AD; n: 14; b: 50; Czas: 0.1027
Algorytm: AD; n: 14; b: 50; Czas: 0.1002
Algorytm: AD; n: 14; b: 50; Czas: 0.1083
Algorytm: AD; n: 14; b: 50; Czas: 0.1192
Algorytm: AD; n: 16; b: 50; Czas: 0.1209
Algorytm: AD; n: 16; b: 50; Czas: 0.1186
Algorytm: AD; n: 16; b: 50; Czas: 0.1185
Algorytm: AD; n: 16; b: 50; Czas: 0.1180
Algorytm: AD; n: 16; b: 50; Czas: 0.1156
Algorytm: AD; n: 16; b: 50; Czas: 0.1259
Algorytm: AD; n: 16; b: 50; Czas: 0.1208
Algorytm: AD; n: 16; b: 50; Czas: 0.1143
Algorytm: AD; n: 16; b: 50; Czas: 0.1147
Algorytm: AD; n: 16; b: 50; Czas: 0.1186
Algorytm: AD; n: 18; b: 50; Czas: 0.1416
Algorytm: AD; n: 18; b: 50; Czas: 0.1859
Algorytm: AD; n: 18; b: 50; Czas: 0.1500
Algorytm: AD; n: 18; b: 50; Czas: 0.1383
Algorytm: AD; n: 18; b: 50; Czas: 0.1344
Algorytm: AD; n: 18; b: 50; Czas: 0.1685
Algorytm: AD; n: 18; b: 50; Czas: 0.1313
Algorytm: AD; n: 18; b: 50; Czas: 0.1562
Algorytm: AD; n: 18; b: 50; Czas: 0.1247
Algorytm: AD; n: 18; b: 50; Czas: 0.1776
Algorytm: AD; n: 20; b: 50; Czas: 0.1671
Algorytm: AD; n: 20; b: 50; Czas: 0.2380
Algorytm: AD; n: 20; b: 50; Czas: 0.1543
Algorytm: AD; n: 20; b: 50; Czas: 0.1485
Algorytm: AD; n: 20; b: 50; Czas: 0.1736
Algorytm: AD; n: 20; b: 50; Czas: 0.2682
Algorytm: AD; n: 20; b: 50; Czas: 0.1956
Algorytm: AD; n: 20; b: 50; Czas: 0.1514
Algorytm: AD; n: 20; b: 50; Czas: 0.1468
Algorytm: AD; n: 20; b: 50; Czas: 0.1496
Algorytm: AD; n: 22; b: 50; Czas: 0.1598
Algorytm: AD; n: 22; b: 50; Czas: 0.2029
Algorytm: AD; n: 22; b: 50; Czas: 0.2768
Algorytm: AD; n: 22; b: 50; Czas: 0.1827
Algorytm: AD; n: 22; b: 50; Czas: 0.2228
Algorytm: AD; n: 22; b: 50; Czas: 0.2178
Algorytm: AD; n: 22; b: 50; Czas: 0.2442
Algorytm: AD; n: 22; b: 50; Czas: 0.2292
Algorytm: AD; n: 22; b: 50; Czas: 0.1572
Algorytm: AD; n: 22; b: 50; Czas: 0.1840
Algorytm: AD; n: 24; b: 50; Czas: 0.2031
Algorytm: AD; n: 24; b: 50; Czas: 0.2238
Algorytm: AD; n: 24; b: 50; Czas: 0.1834
Algorytm: AD; n: 24; b: 50; Czas: 0.2184
Algorytm: AD; n: 24; b: 50; Czas: 0.2124
Algorytm: AD; n: 24; b: 50; Czas: 0.2213
Algorytm: AD; n: 24; b: 50; Czas: 0.2008
Algorytm: AD; n: 24; b: 50; Czas: 0.2338
Algorytm: AD; n: 24; b: 50; Czas: 0.1926
Algorytm: AD; n: 24; b: 50; Czas: 0.1775
