Algorytm: AB; n: 20; b: 10; Czas: 1793.4616
Algorytm: AB; n: 20; b: 10; Czas: 1778.6022
Algorytm: AB; n: 20; b: 10; Czas: 1774.7201
Algorytm: AB; n: 20; b: 10; Czas: 1749.1022
Algorytm: AB; n: 20; b: 10; Czas: 1959.4237
Algorytm: AB; n: 20; b: 10; Czas: 1800.3763
Algorytm: AB; n: 20; b: 10; Czas: 1792.7449
Algorytm: AB; n: 20; b: 10; Czas: 1779.8260
Algorytm: AB; n: 20; b: 10; Czas: 1811.1995
Algorytm: AB; n: 20; b: 10; Czas: 2010.4045
Algorytm: AB; n: 20; b: 20; Czas: 1786.0516
Algorytm: AB; n: 20; b: 20; Czas: 1765.9423
Algorytm: AB; n: 20; b: 20; Czas: 1775.3490
Algorytm: AB; n: 20; b: 20; Czas: 1773.4107
Algorytm: AB; n: 20; b: 20; Czas: 1796.8965
Algorytm: AB; n: 20; b: 20; Czas: 1786.7993
Algorytm: AB; n: 20; b: 20; Czas: 1841.6766
Algorytm: AB; n: 20; b: 20; Czas: 1801.6360
Algorytm: AB; n: 20; b: 20; Czas: 1776.9596
Algorytm: AB; n: 20; b: 20; Czas: 1840.2801
Algorytm: AB; n: 20; b: 30; Czas: 1776.7932
Algorytm: AB; n: 20; b: 30; Czas: 1773.3823
Algorytm: AB; n: 20; b: 30; Czas: 1768.6284
Algorytm: AB; n: 20; b: 30; Czas: 1783.1316
Algorytm: AB; n: 20; b: 30; Czas: 1767.5444
Algorytm: AB; n: 20; b: 30; Czas: 2006.0499
Algorytm: AB; n: 20; b: 30; Czas: 1761.5244
Algorytm: AB; n: 20; b: 30; Czas: 1758.0782
Algorytm: AB; n: 20; b: 30; Czas: 1758.8660
Algorytm: AB; n: 20; b: 30; Czas: 1782.4298
Algorytm: AB; n: 20; b: 40; Czas: 1792.9592
Algorytm: AB; n: 20; b: 40; Czas: 1784.0793
Algorytm: AB; n: 20; b: 40; Czas: 1754.7812
Algorytm: AB; n: 20; b: 40; Czas: 1890.9277
Algorytm: AB; n: 20; b: 40; Czas: 1775.6017
Algorytm: AB; n: 20; b: 40; Czas: 1793.2825
Algorytm: AB; n: 20; b: 40; Czas: 1775.5406
Algorytm: AB; n: 20; b: 40; Czas: 1783.8282
Algorytm: AB; n: 20; b: 40; Czas: 1779.6556
Algorytm: AB; n: 20; b: 40; Czas: 1771.8858
Algorytm: AB; n: 20; b: 50; Czas: 1778.3987
Algorytm: AB; n: 20; b: 50; Czas: 1971.8317
Algorytm: AB; n: 20; b: 50; Czas: 1875.1283
Algorytm: AB; n: 20; b: 50; Czas: 1832.0617
Algorytm: AB; n: 20; b: 50; Czas: 1771.4902
Algorytm: AB; n: 20; b: 50; Czas: 1778.8629
Algorytm: AB; n: 20; b: 50; Czas: 1744.2670
Algorytm: AB; n: 20; b: 50; Czas: 1773.3289
Algorytm: AB; n: 20; b: 50; Czas: 1783.7685
Algorytm: AB; n: 20; b: 50; Czas: 1775.8085
Algorytm: AB; n: 20; b: 60; Czas: 1907.9286
Algorytm: AB; n: 20; b: 60; Czas: 1771.7624
Algorytm: AB; n: 20; b: 60; Czas: 1775.2537
Algorytm: AB; n: 20; b: 60; Czas: 1782.5377
Algorytm: AB; n: 20; b: 60; Czas: 1764.0701
Algorytm: AB; n: 20; b: 60; Czas: 1778.2002
Algorytm: AB; n: 20; b: 60; Czas: 1798.0429
Algorytm: AB; n: 20; b: 60; Czas: 1787.4894
Algorytm: AB; n: 20; b: 60; Czas: 2079.0599
Algorytm: AB; n: 20; b: 60; Czas: 1787.6642
Algorytm: AB; n: 20; b: 70; Czas: 1774.0749
Algorytm: AB; n: 20; b: 70; Czas: 1844.1463
Algorytm: AB; n: 20; b: 70; Czas: 1802.8536
Algorytm: AB; n: 20; b: 70; Czas: 1766.7954
Algorytm: AB; n: 20; b: 70; Czas: 1754.0162
Algorytm: AB; n: 20; b: 70; Czas: 1810.3403
Algorytm: AB; n: 20; b: 70; Czas: 2006.5972
Algorytm: AB; n: 20; b: 70; Czas: 1916.4156
Algorytm: AB; n: 20; b: 70; Czas: 1880.4308
Algorytm: AB; n: 20; b: 70; Czas: 1827.9834
Algorytm: AB; n: 20; b: 80; Czas: 1846.3045
Algorytm: AB; n: 20; b: 80; Czas: 1865.2854
Algorytm: AB; n: 20; b: 80; Czas: 1835.4963
Algorytm: AB; n: 20; b: 80; Czas: 1874.3085
Algorytm: AB; n: 20; b: 80; Czas: 2113.0897
Algorytm: AB; n: 20; b: 80; Czas: 1833.0034
Algorytm: AB; n: 20; b: 80; Czas: 1808.2918
Algorytm: AB; n: 20; b: 80; Czas: 1774.7647
Algorytm: AB; n: 20; b: 80; Czas: 1853.7602
Algorytm: AB; n: 20; b: 80; Czas: 1822.0938
Algorytm: AB; n: 20; b: 90; Czas: 1818.6671
Algorytm: AB; n: 20; b: 90; Czas: 1800.1961
Algorytm: AB; n: 20; b: 90; Czas: 1928.3836
Algorytm: AB; n: 20; b: 90; Czas: 1819.2320
Algorytm: AB; n: 20; b: 90; Czas: 1809.3158
Algorytm: AB; n: 20; b: 90; Czas: 1793.9747
Algorytm: AB; n: 20; b: 90; Czas: 1846.6671
Algorytm: AB; n: 20; b: 90; Czas: 1812.7891
Algorytm: AB; n: 20; b: 90; Czas: 1880.6522
Algorytm: AB; n: 20; b: 90; Czas: 1847.4170
Algorytm: AB; n: 20; b: 100; Czas: 2044.3317
Algorytm: AB; n: 20; b: 100; Czas: 1877.7032
Algorytm: AB; n: 20; b: 100; Czas: 1816.4308
Algorytm: AB; n: 20; b: 100; Czas: 1824.6521
Algorytm: AB; n: 20; b: 100; Czas: 1822.8987
Algorytm: AB; n: 20; b: 100; Czas: 1800.5156
Algorytm: AB; n: 20; b: 100; Czas: 1858.7657
