Algorytm: AZ; n: 20; b: 10; Czas: 0.0158
Algorytm: AZ; n: 20; b: 10; Czas: 0.0114
Algorytm: AZ; n: 20; b: 10; Czas: 0.0105
Algorytm: AZ; n: 20; b: 10; Czas: 0.0103
Algorytm: AZ; n: 20; b: 10; Czas: 0.0165
Algorytm: AZ; n: 20; b: 10; Czas: 0.0114
Algorytm: AZ; n: 20; b: 10; Czas: 0.0152
Algorytm: AZ; n: 20; b: 10; Czas: 0.0106
Algorytm: AZ; n: 20; b: 10; Czas: 0.0109
Algorytm: AZ; n: 20; b: 10; Czas: 0.0132
Algorytm: AZ; n: 20; b: 20; Czas: 0.0111
Algorytm: AZ; n: 20; b: 20; Czas: 0.0114
Algorytm: AZ; n: 20; b: 20; Czas: 0.0113
Algorytm: AZ; n: 20; b: 20; Czas: 0.0111
Algorytm: AZ; n: 20; b: 20; Czas: 0.0111
Algorytm: AZ; n: 20; b: 20; Czas: 0.0272
Algorytm: AZ; n: 20; b: 20; Czas: 0.0111
Algorytm: AZ; n: 20; b: 20; Czas: 0.0115
Algorytm: AZ; n: 20; b: 20; Czas: 0.0107
Algorytm: AZ; n: 20; b: 20; Czas: 0.0110
Algorytm: AZ; n: 20; b: 30; Czas: 0.0248
Algorytm: AZ; n: 20; b: 30; Czas: 0.0109
Algorytm: AZ; n: 20; b: 30; Czas: 0.0111
Algorytm: AZ; n: 20; b: 30; Czas: 0.0113
Algorytm: AZ; n: 20; b: 30; Czas: 0.0344
Algorytm: AZ; n: 20; b: 30; Czas: 0.0115
Algorytm: AZ; n: 20; b: 30; Czas: 0.0112
Algorytm: AZ; n: 20; b: 30; Czas: 0.0105
Algorytm: AZ; n: 20; b: 30; Czas: 0.0109
Algorytm: AZ; n: 20; b: 30; Czas: 0.0112
Algorytm: AZ; n: 20; b: 40; Czas: 0.0113
Algorytm: AZ; n: 20; b: 40; Czas: 0.0112
Algorytm: AZ; n: 20; b: 40; Czas: 0.0295
Algorytm: AZ; n: 20; b: 40; Czas: 0.0378
Algorytm: AZ; n: 20; b: 40; Czas: 0.0110
Algorytm: AZ; n: 20; b: 40; Czas: 0.0105
Algorytm: AZ; n: 20; b: 40; Czas: 0.0324
Algorytm: AZ; n: 20; b: 40; Czas: 0.0112
Algorytm: AZ; n: 20; b: 40; Czas: 0.0108
Algorytm: AZ; n: 20; b: 40; Czas: 0.0299
Algorytm: AZ; n: 20; b: 50; Czas: 0.0109
Algorytm: AZ; n: 20; b: 50; Czas: 0.0117
Algorytm: AZ; n: 20; b: 50; Czas: 0.0146
Algorytm: AZ; n: 20; b: 50; Czas: 0.0116
Algorytm: AZ; n: 20; b: 50; Czas: 0.0107
Algorytm: AZ; n: 20; b: 50; Czas: 0.0108
Algorytm: AZ; n: 20; b: 50; Czas: 0.0364
Algorytm: AZ; n: 20; b: 50; Czas: 0.0256
Algorytm: AZ; n: 20; b: 50; Czas: 0.0266
Algorytm: AZ; n: 20; b: 50; Czas: 0.0384
Algorytm: AZ; n: 20; b: 60; Czas: 0.0109
Algorytm: AZ; n: 20; b: 60; Czas: 0.0382
Algorytm: AZ; n: 20; b: 60; Czas: 0.0115
Algorytm: AZ; n: 20; b: 60; Czas: 0.0376
Algorytm: AZ; n: 20; b: 60; Czas: 0.0109
Algorytm: AZ; n: 20; b: 60; Czas: 0.0337
Algorytm: AZ; n: 20; b: 60; Czas: 0.0350
Algorytm: AZ; n: 20; b: 60; Czas: 0.0111
Algorytm: AZ; n: 20; b: 60; Czas: 0.0109
Algorytm: AZ; n: 20; b: 60; Czas: 0.0107
Algorytm: AZ; n: 20; b: 70; Czas: 0.0107
Algorytm: AZ; n: 20; b: 70; Czas: 0.0378
Algorytm: AZ; n: 20; b: 70; Czas: 0.0124
Algorytm: AZ; n: 20; b: 70; Czas: 0.0350
Algorytm: AZ; n: 20; b: 70; Czas: 0.0383
Algorytm: AZ; n: 20; b: 70; Czas: 0.0111
Algorytm: AZ; n: 20; b: 70; Czas: 0.0110
Algorytm: AZ; n: 20; b: 70; Czas: 0.0178
Algorytm: AZ; n: 20; b: 70; Czas: 0.0122
Algorytm: AZ; n: 20; b: 70; Czas: 0.0110
Algorytm: AZ; n: 20; b: 80; Czas: 0.0311
Algorytm: AZ; n: 20; b: 80; Czas: 0.0111
Algorytm: AZ; n: 20; b: 80; Czas: 0.0363
Algorytm: AZ; n: 20; b: 80; Czas: 0.0108
Algorytm: AZ; n: 20; b: 80; Czas: 0.0110
Algorytm: AZ; n: 20; b: 80; Czas: 0.0157
Algorytm: AZ; n: 20; b: 80; Czas: 0.0115
Algorytm: AZ; n: 20; b: 80; Czas: 0.0117
Algorytm: AZ; n: 20; b: 80; Czas: 0.0111
Algorytm: AZ; n: 20; b: 80; Czas: 0.0171
Algorytm: AZ; n: 20; b: 90; Czas: 0.0317
Algorytm: AZ; n: 20; b: 90; Czas: 0.0165
Algorytm: AZ; n: 20; b: 90; Czas: 0.0355
Algorytm: AZ; n: 20; b: 90; Czas: 0.0115
Algorytm: AZ; n: 20; b: 90; Czas: 0.0110
Algorytm: AZ; n: 20; b: 90; Czas: 0.0118
Algorytm: AZ; n: 20; b: 90; Czas: 0.0112
Algorytm: AZ; n: 20; b: 90; Czas: 0.0114
Algorytm: AZ; n: 20; b: 90; Czas: 0.0379
Algorytm: AZ; n: 20; b: 90; Czas: 0.0357
Algorytm: AZ; n: 20; b: 100; Czas: 0.0125
Algorytm: AZ; n: 20; b: 100; Czas: 0.0163
Algorytm: AZ; n: 20; b: 100; Czas: 0.0330
Algorytm: AZ; n: 20; b: 100; Czas: 0.0112
Algorytm: AZ; n: 20; b: 100; Czas: 0.0122
Algorytm: AZ; n: 20; b: 100; Czas: 0.0384
Algorytm: AZ; n: 20; b: 100; Czas: 0.0108
Algorytm: AZ; n: 20; b: 100; Czas: 0.0111
Algorytm: AZ; n: 20; b: 100; Czas: 0.0112
Algorytm: AZ; n: 20; b: 100; Czas: 0.0169
Algorytm: AZ; n: 20; b: 110; Czas: 0.0107
Algorytm: AZ; n: 20; b: 110; Czas: 0.0356
Algorytm: AZ; n: 20; b: 110; Czas: 0.0114
Algorytm: AZ; n: 20; b: 110; Czas: 0.0110
Algorytm: AZ; n: 20; b: 110; Czas: 0.0109
Algorytm: AZ; n: 20; b: 110; Czas: 0.0109
Algorytm: AZ; n: 20; b: 110; Czas: 0.0364
Algorytm: AZ; n: 20; b: 110; Czas: 0.0113
Algorytm: AZ; n: 20; b: 110; Czas: 0.0354
Algorytm: AZ; n: 20; b: 110; Czas: 0.0113
Algorytm: AZ; n: 20; b: 120; Czas: 0.0109
Algorytm: AZ; n: 20; b: 120; Czas: 0.0110
Algorytm: AZ; n: 20; b: 120; Czas: 0.0363
