Typ;N;Srednia_ms;Odchylenie_ms
random;5000;19.3891;3.8746
random;10000;36.5241;5.6025
random;15000;66.2233;15.1592
random;20000;107.1838;21.3372
random;25000;114.1015;26.4718
random;30000;151.3586;18.2123
random;35000;204.5331;74.4747
random;40000;248.4098;143.4118
random;45000;549.7259;230.5258
random;50000;361.1404;61.0500
growing;5000;14.6640;0.9303
growing;10000;37.0094;7.5703
growing;15000;48.5630;4.3178
growing;20000;69.4310;7.7894
growing;25000;88.6668;7.2649
growing;30000;107.3333;9.7649
growing;35000;146.8440;19.9789
growing;40000;268.2617;146.9929
growing;45000;230.7121;59.1750
growing;50000;257.2937;81.6069
descending;5000;46.3550;5.6852
descending;10000;96.6787;8.6353
descending;15000;152.1872;18.1167
descending;20000;205.6636;9.5662
descending;25000;264.4166;14.5085
descending;30000;319.4458;13.4171
descending;35000;377.1366;9.6238
descending;40000;426.6018;12.1516
descending;45000;493.4635;6.3251
descending;50000;556.2846;20.4353
a-shaped;5000;45.7933;2.1744
a-shaped;10000;101.2790;6.5050
a-shaped;15000;149.0225;15.7936
a-shaped;20000;202.8339;29.4074
a-shaped;25000;232.4760;8.9093
a-shaped;30000;290.4206;17.4011
a-shaped;35000;338.8770;14.7012
a-shaped;40000;401.4273;15.9967
a-shaped;45000;452.4198;11.9058
a-shaped;50000;515.4547;18.7412
v-shaped;5000;42.1827;3.2794
v-shaped;10000;92.3796;6.4975
v-shaped;15000;145.5068;12.3179
v-shaped;20000;196.8765;8.0621
v-shaped;25000;261.6132;20.8903
v-shaped;30000;317.6890;26.3216
v-shaped;35000;362.3125;12.7378
v-shaped;40000;424.6187;10.9968
v-shaped;45000;476.2722;7.3068
v-shaped;50000;536.3842;5.9519
