Typ;N;Srednia_ms;Odchylenie_ms
random;5000;11.9699;2.7958
random;10000;23.2913;2.1650
random;15000;34.7950;3.1983
random;20000;48.9045;7.3758
random;25000;57.6770;5.1161
random;30000;71.0799;6.2698
random;35000;85.2077;6.8900
random;40000;99.6564;6.8570
random;45000;112.6574;10.7466
random;50000;130.8490;9.9581
growing;5000;7.1047;0.4108
growing;10000;16.5318;2.7821
growing;15000;26.5001;3.6839
growing;20000;32.7087;4.5416
growing;25000;45.6813;5.2031
growing;30000;49.0206;4.8904
growing;35000;55.5621;6.4268
growing;40000;64.6761;6.4865
growing;45000;73.3190;7.7026
growing;50000;80.9642;4.7720
descending;5000;12.8396;2.1743
descending;10000;25.8748;2.1263
descending;15000;41.8985;8.6502
descending;20000;52.9261;4.3152
descending;25000;62.0975;3.5163
descending;30000;80.1062;9.9130
descending;35000;91.6508;9.4195
descending;40000;106.6241;9.5897
descending;45000;118.4900;12.3209
descending;50000;134.0623;12.3254
a-shaped;5000;12.5959;0.5092
a-shaped;10000;26.2997;3.5128
a-shaped;15000;41.7398;6.9305
a-shaped;20000;53.0766;4.8578
a-shaped;25000;66.0968;6.7499
a-shaped;30000;82.1143;10.3313
a-shaped;35000;93.0954;6.0572
a-shaped;40000;109.5111;9.4647
a-shaped;45000;122.2493;9.7384
a-shaped;50000;135.8697;11.3235
v-shaped;5000;12.1725;0.4768
v-shaped;10000;34.7232;5.9995
v-shaped;15000;41.3180;5.0046
v-shaped;20000;80.4588;35.5810
v-shaped;25000;81.7504;15.3984
v-shaped;30000;79.5171;8.6897
v-shaped;35000;118.0257;26.0872
v-shaped;40000;110.5526;6.9434
v-shaped;45000;124.2289;6.3918
v-shaped;50000;138.1774;10.7830
