Typ;N;Srednia_ms;Odchylenie_ms
random;5000;6.0561;0.5261
random;10000;13.9476;1.1014
random;15000;24.5022;13.6616
random;20000;31.0293;4.9259
random;25000;43.1960;5.0672
random;30000;47.0797;2.6152
growing;5000;710.3255;111.3917
growing;10000;4464.4918;802.7461
growing;15000;11112.7610;510.5293
growing;20000;19211.8042;764.6717
growing;25000;28567.5950;1320.7811
growing;30000;42131.8481;1970.9834
descending;5000;2060.5664;224.5187
descending;10000;9530.8726;911.0675
descending;15000;18380.9412;1207.8567
descending;20000;31665.8049;1228.6373
descending;25000;49537.2873;7512.7637
descending;30000;41626.2278;8557.9917
a-shaped;5000;2134.3433;65.6462
a-shaped;10000;8258.7757;240.3705
a-shaped;15000;18383.0164;2474.0444
a-shaped;20000;32825.8286;1596.9627
a-shaped;25000;144184.0788;297531.8352
a-shaped;30000;66703.0830;294.8642
v-shaped;5000;449.6617;12.7488
v-shaped;10000;1769.2478;49.9760
v-shaped;15000;3903.9671;26.7527
v-shaped;20000;7101.7856;334.9035
v-shaped;25000;8173.6035;620.4559
v-shaped;30000;14916.3253;1008.8651
