Typ;N;Srednia_ms;Odchylenie_ms
random;5000;9.4745;0.2547
random;10000;21.8150;0.9350
random;15000;35.3842;1.3695
random;20000;50.6378;1.9306
random;25000;66.0766;2.8400
random;30000;82.3420;2.1954
random;35000;99.6554;3.3402
random;40000;117.9488;4.2302
random;45000;138.9560;4.2523
random;50000;156.7005;5.1965
growing;5000;4.3792;0.1401
growing;10000;10.7147;0.2594
growing;15000;15.7541;0.4768
growing;20000;22.7485;0.5720
growing;25000;28.2548;0.6220
growing;30000;36.5743;0.8216
growing;35000;43.7455;0.9058
growing;40000;47.9059;0.7863
growing;45000;52.1681;1.2887
growing;50000;59.6868;1.2717
descending;5000;7.2753;0.1225
descending;10000;15.5653;0.3841
descending;15000;24.7246;0.5691
descending;20000;34.0132;1.0069
descending;25000;42.8802;0.7784
descending;30000;53.4210;1.0894
descending;35000;65.0169;3.1731
descending;40000;73.1211;0.8821
descending;45000;84.4616;1.3087
descending;50000;95.5858;2.0608
a-shaped;5000;11.4027;0.2121
a-shaped;10000;24.9073;0.6744
a-shaped;15000;41.1374;1.2573
a-shaped;20000;54.7467;0.7205
a-shaped;25000;69.3419;1.4293
a-shaped;30000;85.2053;1.4304
a-shaped;35000;103.3233;3.3730
a-shaped;40000;120.7948;2.4310
a-shaped;45000;137.9638;1.6911
a-shaped;50000;155.3956;2.1090
v-shaped;5000;11.9085;0.4326
v-shaped;10000;25.6107;0.5434
v-shaped;15000;40.9153;1.1596
v-shaped;20000;56.0534;1.4236
v-shaped;25000;72.0149;2.7681
v-shaped;30000;88.1358;1.9403
v-shaped;35000;105.6685;2.4681
v-shaped;40000;122.6101;1.8569
v-shaped;45000;140.8882;2.4712
v-shaped;50000;156.0933;2.2181
