Typ;N;Srednia_ms;Odchylenie_ms
random;500;0.3816;0.0215
random;1000;0.8747;0.0612
random;2000;1.8683;0.1512
random;4000;4.6610;0.9451
random;8000;9.6856;0.5328
random;16000;22.8566;0.9322
random;32000;49.0242;4.2397
growing;500;5.9310;0.2702
growing;1000;25.3400;0.9753
growing;2000;100.7906;2.2117
growing;4000;407.6930;8.6532
growing;8000;1736.4950;167.7106
growing;16000;6473.2902;158.9587
growing;32000;25101.0523;160.4711
descending;500;9.9076;0.4936
descending;1000;42.1748;1.2747
descending;2000;166.0305;1.1743
descending;4000;660.1489;7.4607
descending;8000;2643.4977;22.4007
descending;16000;10514.3610;60.8257
descending;32000;66171.5683;20716.9206
a-shaped;500;40.4997;7.9929
a-shaped;1000;137.7232;4.1556
a-shaped;2000;606.9653;46.8162
a-shaped;4000;2638.3473;475.6216
a-shaped;8000;10916.0042;1116.2326
a-shaped;16000;44915.6251;3579.7404
a-shaped;32000;166183.4060;11697.0296
v-shaped;500;20.0058;2.4081
v-shaped;1000;96.7777;18.7644
v-shaped;2000;348.5442;68.1932
v-shaped;4000;985.8848;194.4203
v-shaped;8000;4303.6722;912.2897
v-shaped;16000;11685.3985;3924.6000
v-shaped;32000;35372.7062;8320.3526
