Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.1872 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.1447 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.2426 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.0757 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.2058 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.0444 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.1416 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.0411 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.0626 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 2.3406 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.5601 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.5792 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.4389 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 8.0307 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.4883 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.5316 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.4796 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.3202 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.2529 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 4.3312 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 6.6902 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.8591 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 6.7479 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 6.6504 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 7.1260 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 6.8565 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 6.6528 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 6.4887 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 11.8425 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 7.0610 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 9.0599 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 10.5765 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 9.1611 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 14.4150 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 9.2845 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 8.9675 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 8.9627 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 8.8084 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 13.8755 ms;
Operacja: tworzenie; Typ: random; n: 20000; Czas: 9.0608 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 11.4501 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 11.7192 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 16.6656 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 11.2732 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 11.0634 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 10.9896 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 17.6839 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 11.1605 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 11.3304 ms;
Operacja: tworzenie; Typ: random; n: 25000; Czas: 17.8659 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 18.2466 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 15.8468 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 15.2132 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 20.7631 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 15.0989 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 14.5378 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 20.9861 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 15.9166 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 18.4127 ms;
Operacja: tworzenie; Typ: random; n: 30000; Czas: 23.5975 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 17.2844 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 17.2030 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 23.7804 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 17.6332 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 23.2346 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 16.7251 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 16.6082 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 23.8318 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 16.3603 ms;
Operacja: tworzenie; Typ: random; n: 35000; Czas: 16.2214 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 26.6393 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 18.7941 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 25.5356 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 27.4340 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 21.2902 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 26.6822 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 19.8523 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 33.6698 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 22.3233 ms;
Operacja: tworzenie; Typ: random; n: 40000; Czas: 30.0392 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 24.7943 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 31.7797 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 23.2726 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 31.2967 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 22.6974 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 31.0316 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 21.7114 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 22.5349 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 28.6557 ms;
Operacja: tworzenie; Typ: random; n: 45000; Czas: 21.2051 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 32.0374 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 42.3061 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 24.9800 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 31.6687 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 28.6579 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 37.8173 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 25.8500 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 34.7495 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 24.7155 ms;
Operacja: tworzenie; Typ: random; n: 50000; Czas: 32.4024 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.5046 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.6059 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.4739 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.5241 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.6500 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.5041 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.6455 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.5239 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.5629 ms;
Operacja: tworzenie; Typ: growing; n: 5000; Czas: 1.6558 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.3608 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 8.1819 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.2477 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.2074 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.3123 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.1366 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.3931 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.3183 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.2012 ms;
Operacja: tworzenie; Typ: growing; n: 10000; Czas: 3.1360 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 9.6635 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 5.0335 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.7419 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.9397 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.8487 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.9647 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.5877 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 8.7872 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.8662 ms;
Operacja: tworzenie; Typ: growing; n: 15000; Czas: 4.6057 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 6.4794 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 6.4877 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 11.1367 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 7.5161 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 7.1981 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 7.1758 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 6.8141 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 12.2072 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 7.4431 ms;
Operacja: tworzenie; Typ: growing; n: 20000; Czas: 6.8872 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.4189 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 13.4622 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.2459 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.5484 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.3611 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 13.8003 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.5053 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.2384 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 8.2293 ms;
Operacja: tworzenie; Typ: growing; n: 25000; Czas: 12.4596 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 10.2728 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 10.2539 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 15.5459 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 10.1838 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 9.8187 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 14.7936 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 9.8429 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 9.4837 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 15.5281 ms;
Operacja: tworzenie; Typ: growing; n: 30000; Czas: 9.7103 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 11.0147 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 17.6250 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 11.2741 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 11.6247 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 17.2299 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 12.0678 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 11.9759 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 16.1438 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 11.5162 ms;
Operacja: tworzenie; Typ: growing; n: 35000; Czas: 17.2048 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 14.7270 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 35.0123 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 21.3897 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 14.3856 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 19.5672 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 17.6172 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 22.7371 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 16.8866 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 14.7613 ms;
Operacja: tworzenie; Typ: growing; n: 40000; Czas: 19.7445 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 16.3084 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 21.2366 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 16.6493 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 20.8427 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 15.8737 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 21.6224 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 15.0796 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 20.3561 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 15.4996 ms;
Operacja: tworzenie; Typ: growing; n: 45000; Czas: 21.6641 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 16.8522 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 22.7607 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 16.2338 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 25.3405 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 16.3820 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 23.7395 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 17.8394 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 21.7111 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 17.1491 ms;
Operacja: tworzenie; Typ: growing; n: 50000; Czas: 22.3934 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.9533 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 2.0710 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.8022 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.8477 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.9890 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 2.0249 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.9399 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.7869 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.8444 ms;
Operacja: tworzenie; Typ: descending; n: 5000; Czas: 1.7822 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 6.8584 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.8204 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.7477 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.9411 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.6240 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.5691 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.9067 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.8295 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 3.7803 ms;
Operacja: tworzenie; Typ: descending; n: 10000; Czas: 6.5806 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.7715 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.4982 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.5045 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.6480 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.8409 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.4716 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 8.2605 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.7213 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.6801 ms;
Operacja: tworzenie; Typ: descending; n: 15000; Czas: 5.4811 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.6741 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 11.0226 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.5179 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.9915 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.4036 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.2268 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 10.6923 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.4946 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.5889 ms;
Operacja: tworzenie; Typ: descending; n: 20000; Czas: 7.5948 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 9.3086 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 12.5886 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 9.9104 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 9.3973 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 12.8165 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 9.3190 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 9.2615 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 9.2833 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 14.4748 ms;
Operacja: tworzenie; Typ: descending; n: 25000; Czas: 10.3739 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 13.6275 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 12.3134 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 15.2582 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 12.1552 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 12.5636 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 15.8066 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 12.7012 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 13.9411 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 17.1299 ms;
Operacja: tworzenie; Typ: descending; n: 30000; Czas: 15.6473 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 18.1252 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 18.0597 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 14.6879 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 14.9040 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 18.6787 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 15.0768 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 18.7653 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 14.5728 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 14.1991 ms;
Operacja: tworzenie; Typ: descending; n: 35000; Czas: 17.5998 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 15.5965 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 20.6741 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 16.0662 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 15.8050 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 18.7614 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 16.0799 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 19.4529 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 18.9292 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 23.5532 ms;
Operacja: tworzenie; Typ: descending; n: 40000; Czas: 16.5958 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 18.3010 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 20.6369 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 18.3087 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 20.8395 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 17.8214 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 21.4700 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 17.2480 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 20.8729 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 17.3069 ms;
Operacja: tworzenie; Typ: descending; n: 45000; Czas: 21.0208 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 19.0161 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 23.3525 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 18.9233 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 22.1342 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 19.5634 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 22.2040 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 24.7828 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 19.0687 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 25.6776 ms;
Operacja: tworzenie; Typ: descending; n: 50000; Czas: 25.6767 ms;
