Operacja: max; Typ: random; n: 5000; Czas: 0.0033 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0030 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0009 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 5000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0027 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0009 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0067 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0040 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0071 ms;
Operacja: max; Typ: random; n: 10000; Czas: 0.0023 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0022 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 15000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 20000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0024 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0030 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0021 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0036 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0031 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0020 ms;
Operacja: max; Typ: random; n: 25000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0025 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0020 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0022 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0028 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 30000; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 35000; Czas: 0.0016 ms;
