Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.9278 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.8846 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.9914 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.8442 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.8845 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.9148 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.9016 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.8834 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.8985 ms;
Operacja: tworzenie; Typ: random; n: 5000; Czas: 0.9229 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.7655 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.8077 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.9852 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.7911 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.7897 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.8436 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.7748 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.7807 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.7529 ms;
Operacja: tworzenie; Typ: random; n: 10000; Czas: 1.8363 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.6598 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.6366 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 3.1596 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.6353 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.7030 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.4606 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.4840 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.6417 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.6368 ms;
Operacja: tworzenie; Typ: random; n: 15000; Czas: 2.7479 ms;
