Operacja: max; Typ: random; n: 500; Czas: 0.0049 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0052 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0081 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0019 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0024 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0009 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0019 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0019 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0010 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0013 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0011 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0012 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0021 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0023 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0014 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0015 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0016 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0018 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0029 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0023 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0017 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0019 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0027 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0029 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0045 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0026 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0021 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.0024 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0028 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0027 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0027 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0023 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0033 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0026 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0027 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0030 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0026 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.0030 ms;
Operacja: max; Typ: random; n: 64000; Czas: 0.0022 ms;
Operacja: max; Typ: random; n: 64000; Czas: 0.0036 ms;
Operacja: max; Typ: random; n: 64000; Czas: 0.0021 ms;
Operacja: max; Typ: random; n: 64000; Czas: 0.0019 ms;
Operacja: max; Typ: random; n: 64000; Czas: 0.0027 ms;
Operacja: max; Typ: random; n: 64000; Czas: 0.0022 ms;
