Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.1307 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0955 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0681 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0693 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0682 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0707 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0759 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0771 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0766 ms;
Operacja: rownowazenie; Typ: random; n: 500; Czas: 0.0726 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1576 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1801 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1486 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1637 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1412 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1521 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1326 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1854 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1481 ms;
Operacja: rownowazenie; Typ: random; n: 1000; Czas: 0.1259 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.4702 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.2509 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.3076 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.3098 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.2661 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.3055 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.2844 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.2807 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.2917 ms;
Operacja: rownowazenie; Typ: random; n: 2000; Czas: 0.2985 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.6266 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.5703 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.5689 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.5489 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.5797 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.5031 ms;
Operacja: rownowazenie; Typ: random; n: 4000; Czas: 0.5120 ms;
