Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2453 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2476 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2100 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2464 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.1975 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.4424 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2190 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2412 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2123 ms;
Operacja: tworzenie; Typ: random; n: 500; Czas: 0.2564 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5803 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5441 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5158 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.6198 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.4892 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5786 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.4575 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5855 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.5086 ms;
Operacja: tworzenie; Typ: random; n: 1000; Czas: 0.4797 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.2830 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.8410 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.2621 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.1258 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.1133 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.1355 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.0233 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.0852 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.0775 ms;
Operacja: tworzenie; Typ: random; n: 2000; Czas: 1.4094 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.8084 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.3106 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.5794 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.3846 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.5034 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.5437 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.6834 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.5446 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.1997 ms;
Operacja: tworzenie; Typ: random; n: 4000; Czas: 2.5821 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 5.4937 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 8.2904 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 5.8067 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 6.0132 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 5.6513 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 6.0721 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 5.9817 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 6.7837 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 5.6028 ms;
Operacja: tworzenie; Typ: random; n: 8000; Czas: 5.3520 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 14.2858 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 28.2316 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 17.8400 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 16.8936 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 15.9250 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 13.8677 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 12.1554 ms;
Operacja: tworzenie; Typ: random; n: 16000; Czas: 15.8486 ms;
