Operacja: max; Typ: random; n: 500; Czas: 0.0193 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0100 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0108 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0137 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0118 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0105 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0081 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0110 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0099 ms;
Operacja: max; Typ: random; n: 500; Czas: 0.0115 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0105 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0105 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0128 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0144 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0109 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0096 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0107 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0150 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0137 ms;
Operacja: max; Typ: random; n: 1000; Czas: 0.0159 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0584 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0237 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0210 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0299 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0221 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0289 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0176 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0299 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0467 ms;
Operacja: max; Typ: random; n: 2000; Czas: 0.0514 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0311 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0687 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0353 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0276 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0599 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0301 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0567 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0436 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0575 ms;
Operacja: max; Typ: random; n: 4000; Czas: 0.0459 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.2814 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.1571 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.1542 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.1597 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0871 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.2814 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.1252 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.1100 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.0976 ms;
Operacja: max; Typ: random; n: 8000; Czas: 0.1009 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.2596 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.2440 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.2332 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.1741 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.3298 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.1829 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.1958 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.1807 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.2652 ms;
Operacja: max; Typ: random; n: 16000; Czas: 0.1516 ms;
Operacja: max; Typ: random; n: 32000; Czas: 0.5765 ms;
