Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.9072 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.4519 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.9944 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.5257 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.3584 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 31.0740 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.5722 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.3509 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.7937 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.5607 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.2573 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.7034 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.5041 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 16.9007 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.6493 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.3961 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 19.6763 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.6890 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.4782 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.3216 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.5736 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.5168 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 16.9996 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.9367 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.7279 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.1431 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.8564 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.10; Czas: 3.3362 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.50; Czas: 17.0484 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 150; Nasycenie: 0.90; Czas: 30.9480 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 29.7499 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 140.1473 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 259.7857 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 29.5817 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 139.9777 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 248.3752 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 29.9931 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 138.6962 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 256.2927 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 30.7588 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 142.8440 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.90; Czas: 249.2099 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.10; Czas: 29.2684 ms;
Operacja: sortowanie; Typ: Lista Krawedzi; n: 300; Nasycenie: 0.50; Czas: 140.3073 ms;
