Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 147.8824 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 145.7346 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 145.1343 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 145.2818 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 147.2364 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 152.4433 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 145.1621 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 145.7541 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 146.1828 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.10; Czas: 153.8798 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 165.1294 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 161.4627 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 161.2260 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 159.1134 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 162.6318 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 163.7298 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 160.5771 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 159.7868 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 167.9896 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.20; Czas: 334.8613 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 192.0183 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 176.8366 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 176.2014 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 178.2549 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 176.7940 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 179.4701 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 175.8594 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 174.4749 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 179.3226 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.30; Czas: 175.8567 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 185.6011 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 188.2839 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 187.0565 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 187.1315 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 190.9694 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 201.3511 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 189.9782 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 187.6647 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 190.9125 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.40; Czas: 192.5790 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 203.4516 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 201.9002 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 206.2281 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 204.0917 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 202.2966 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 209.6652 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 205.1201 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 204.2325 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 206.0425 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.50; Czas: 203.5686 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 216.6171 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 215.1794 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 218.9029 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 214.8872 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 215.0258 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 213.0481 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 213.2877 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 212.2363 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 212.7891 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.60; Czas: 215.6183 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 219.9542 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 218.2693 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 223.2632 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 223.7363 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 256.6284 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 224.7529 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 219.0446 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 223.1478 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 225.6842 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.70; Czas: 221.4342 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 228.1240 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 232.7705 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 228.9783 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 231.3559 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 229.4635 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 233.4251 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 233.0326 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 229.9624 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 235.9006 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.80; Czas: 235.8403 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 238.9812 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 239.0900 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 245.3482 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 238.1635 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 237.9547 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 236.3653 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 239.8898 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 240.6624 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 235.9364 ms;
Operacja: sortowanie; Typ: Macierz Sasiedztwa; n: 1000; Nasycenie: 0.90; Czas: 239.7880 ms;
