Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Lista Krawedzi;150;0.10;32.2582;23.6553
sortowanie;Lista Krawedzi;150;0.50;35.5522;22.2354
sortowanie;Lista Krawedzi;150;0.90;38.0720;23.6352
sortowanie;Lista Krawedzi;300;0.10;263.6692;193.1157
sortowanie;Lista Krawedzi;300;0.50;286.1358;180.9574
sortowanie;Lista Krawedzi;300;0.90;322.1028;199.3109
sortowanie;Lista Krawedzi;450;0.10;929.1249;703.7305
sortowanie;Lista Krawedzi;450;0.50;1024.6829;684.0693
sortowanie;Lista Krawedzi;450;0.90;1109.2016;721.4983
sortowanie;Lista Krawedzi;600;0.10;2313.7308;1798.1973
sortowanie;Lista Krawedzi;600;0.50;2529.2843;1704.9710
sortowanie;Lista Krawedzi;600;0.90;2725.7226;1810.5154
sortowanie;Lista Krawedzi;750;0.10;4624.3862;3556.3861
sortowanie;Lista Krawedzi;750;0.50;5031.2812;3331.9722
sortowanie;Lista Krawedzi;750;0.90;5504.0408;3575.9760
sortowanie;Lista Krawedzi;900;0.10;8139.6833;6212.3237
sortowanie;Lista Krawedzi;900;0.50;8952.9291;5830.3056
sortowanie;Lista Krawedzi;900;0.90;9534.9753;6119.3780
sortowanie;Lista Krawedzi;1050;0.10;13033.8800;9927.2175
sortowanie;Lista Krawedzi;1050;0.50;14205.7371;9206.7231
sortowanie;Lista Krawedzi;1050;0.90;15324.6469;9814.1534
sortowanie;Lista Krawedzi;1200;0.10;19451.5003;14756.2778
sortowanie;Lista Krawedzi;1200;0.50;21237.7999;13760.7376
sortowanie;Lista Krawedzi;1200;0.90;22932.4159;14762.8062
sortowanie;Lista Krawedzi;1350;0.10;27956.6071;21178.1115
sortowanie;Lista Krawedzi;1350;0.50;30432.0543;19765.6102
sortowanie;Lista Krawedzi;1350;0.90;32626.4994;20986.0030
sortowanie;Lista Krawedzi;1500;0.10;39119.8041;29393.9027
sortowanie;Lista Krawedzi;1500;0.50;44235.7072;28325.9667
sortowanie;Lista Krawedzi;1500;0.90;47769.3591;30600.1977
