Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Lista Nastepnikow;150;0.10;1.8444;0.4576
sortowanie;Lista Nastepnikow;150;0.50;1.8758;0.4218
sortowanie;Lista Nastepnikow;150;0.90;1.9562;0.4510
sortowanie;Lista Nastepnikow;300;0.10;7.6434;2.0258
sortowanie;Lista Nastepnikow;300;0.50;8.1159;2.0576
sortowanie;Lista Nastepnikow;300;0.90;7.8510;1.9740
sortowanie;Lista Nastepnikow;450;0.10;18.7305;5.6363
sortowanie;Lista Nastepnikow;450;0.50;19.7278;5.7638
sortowanie;Lista Nastepnikow;450;0.90;20.1524;5.5107
sortowanie;Lista Nastepnikow;600;0.10;34.5095;10.4271
sortowanie;Lista Nastepnikow;600;0.50;35.2951;9.7500
sortowanie;Lista Nastepnikow;600;0.90;36.6180;10.2956
sortowanie;Lista Nastepnikow;750;0.10;56.8537;17.2736
sortowanie;Lista Nastepnikow;750;0.50;58.3966;15.9592
sortowanie;Lista Nastepnikow;750;0.90;63.4253;18.1475
sortowanie;Lista Nastepnikow;900;0.10;82.8328;26.2870
sortowanie;Lista Nastepnikow;900;0.50;88.3735;25.4182
sortowanie;Lista Nastepnikow;900;0.90;89.9478;25.4029
sortowanie;Lista Nastepnikow;1050;0.10;114.3713;35.7019
sortowanie;Lista Nastepnikow;1050;0.50;119.6718;33.4113
sortowanie;Lista Nastepnikow;1050;0.90;121.5412;35.7916
sortowanie;Lista Nastepnikow;1200;0.10;156.4439;44.8169
sortowanie;Lista Nastepnikow;1200;0.50;154.4868;44.6008
sortowanie;Lista Nastepnikow;1200;0.90;157.8454;47.4075
sortowanie;Lista Nastepnikow;1350;0.10;198.6146;84.7100
sortowanie;Lista Nastepnikow;1350;0.50;193.1969;57.0116
sortowanie;Lista Nastepnikow;1350;0.90;199.1581;59.6026
sortowanie;Lista Nastepnikow;1500;0.10;241.0180;78.1758
sortowanie;Lista Nastepnikow;1500;0.50;246.8157;70.0874
sortowanie;Lista Nastepnikow;1500;0.90;255.5452;75.9024
