Operacja;Typ;N;Nasycenie;Srednia_ms;Odchylenie_ms
sortowanie;Lista Krawedzi;150;0.10;15.9589;11.9615
sortowanie;Lista Krawedzi;150;0.50;17.3576;11.1434
sortowanie;Lista Krawedzi;150;0.90;18.5087;11.9579
sortowanie;Lista Krawedzi;300;0.10;130.3358;98.3576
sortowanie;Lista Krawedzi;300;0.50;142.3515;91.0277
sortowanie;Lista Krawedzi;300;0.90;158.4678;102.4205
sortowanie;Lista Krawedzi;450;0.10;471.4823;363.9286
sortowanie;Lista Krawedzi;450;0.50;511.7976;336.2651
sortowanie;Lista Krawedzi;450;0.90;538.3850;351.9230
sortowanie;Lista Krawedzi;600;0.10;1137.2710;886.8282
sortowanie;Lista Krawedzi;600;0.50;1230.3939;819.9148
sortowanie;Lista Krawedzi;600;0.90;1330.9474;880.0604
sortowanie;Lista Krawedzi;750;0.10;2272.1783;1751.4114
sortowanie;Lista Krawedzi;750;0.50;2568.3215;1703.5344
sortowanie;Lista Krawedzi;750;0.90;2687.2958;1756.8227
sortowanie;Lista Krawedzi;900;0.10;4017.8263;3099.6071
sortowanie;Lista Krawedzi;900;0.50;4380.5857;2871.6201
sortowanie;Lista Krawedzi;900;0.90;4711.0264;3060.6235
sortowanie;Lista Krawedzi;1050;0.10;6414.6962;4912.6258
sortowanie;Lista Krawedzi;1050;0.50;7023.1232;4606.0562
sortowanie;Lista Krawedzi;1050;0.90;7571.1666;4907.4758
sortowanie;Lista Krawedzi;1200;0.10;9618.0342;7380.6484
sortowanie;Lista Krawedzi;1200;0.50;10517.5948;6881.0991
sortowanie;Lista Krawedzi;1200;0.90;11337.3222;7378.5797
sortowanie;Lista Krawedzi;1350;0.10;13734.5946;10502.6101
sortowanie;Lista Krawedzi;1350;0.50;15048.4348;9810.5014
sortowanie;Lista Krawedzi;1350;0.90;16178.2016;10432.6305
sortowanie;Lista Krawedzi;1500;0.10;18976.8253;14438.6986
sortowanie;Lista Krawedzi;1500;0.50;20659.7159;13465.6146
sortowanie;Lista Krawedzi;1500;0.90;22317.9670;14452.4218
